İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
995, BAŞİSKELE ,, 66.499 , 61.255 , 60.197 , 12.790 , 4.238 , 40.858 , 848 , 1.376 , 87 , Excel İndir  Json İndir 
996, ÇAYIROVA ,, 88.216 , 78.653 , 77.193 , 20.653 , 3.673 , 47.445 , 4.157 , 1.164 , 101 , Excel İndir  Json İndir 
997, DARICA ,, 138.467 , 123.036 , 120.688 , 31.113 , 7.064 , 71.067 , 9.921 , 1.356 , 167 , Excel İndir  Json İndir 
922, DERİNCE ,, 103.074 , 92.886 , 90.926 , 29.009 , 7.840 , 50.132 , 2.632 , 1.174 , 139 , Excel İndir  Json İndir 
998, DİLOVASI ,, 31.109 , 27.387 , 26.583 , 2.888 , 1.134 , 15.279 , 7.019 , 211 , 52 , Excel İndir  Json İndir 
235, GEBZE ,, 259.889 , 232.244 , 227.334 , 59.868 , 13.226 , 141.629 , 9.198 , 3.050 , 363 , Excel İndir  Json İndir 
252, GÖLCÜK ,, 116.600 , 104.314 , 102.467 , 32.088 , 7.873 , 58.705 , 1.944 , 1.696 , 161 , Excel İndir  Json İndir 
999, İZMİT ,, 255.778 , 230.542 , 226.235 , 78.458 , 19.587 , 120.243 , 4.321 , 3.223 , 403 , Excel İndir  Json İndir 
325, KANDIRA ,, 37.444 , 33.978 , 32.768 , 7.742 , 3.331 , 20.791 , 391 , 422 , 91 , Excel İndir  Json İndir 
335, KARAMÜRSEL ,, 42.745 , 37.521 , 36.741 , 10.894 , 2.955 , 21.490 , 476 , 880 , 46 , Excel İndir  Json İndir 
1000, KARTEPE ,, 81.922 , 74.627 , 73.075 , 17.302 , 5.366 , 47.253 , 2.082 , 960 , 112 , Excel İndir  Json İndir 
714, KÖRFEZ ,, 114.658 , 102.391 , 100.262 , 26.864 , 7.742 , 56.040 , 7.819 , 1.625 , 172 , Excel İndir  Json İndir 
