İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
73, BATMAN MERKEZ ,, 257.451 , 221.635 , 214.915 , 8.756 , 1.534 , 60.227 , 141.900 , 2.293 , 205 , Excel İndir  Json İndir 
83, BEŞİRİ ,, 16.935 , 14.733 , 14.161 , 375 , 84 , 4.703 , 8.884 , 104 , 11 , Excel İndir  Json İndir 
242, GERCÜŞ ,, 12.155 , 10.183 , 9.798 , 364 , 98 , 5.115 , 4.121 , 88 , 12 , Excel İndir  Json İndir 
834, HASANKEYF ,, 4.247 , 3.726 , 3.542 , 276 , 36 , 1.767 , 1.375 , 78 , 10 , Excel İndir  Json İndir 
380, KOZLUK ,, 34.386 , 29.616 , 28.866 , 1.030 , 164 , 9.779 , 17.661 , 208 , 24 , Excel İndir  Json İndir 
500, SASON ,, 17.206 , 13.355 , 12.820 , 946 , 125 , 7.724 , 3.880 , 123 , 22 , Excel İndir  Json İndir 
