İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
105, BOZDOĞAN ,, 25.836 , 23.359 , 22.314 , 7.882 , 4.063 , 9.950 , 113 , 176 , 130 , Excel İndir  Json İndir 
674, BUHARKENT ,, 9.523 , 8.768 , 8.388 , 3.006 , 1.384 , 3.623 , 292 , 54 , 29 , Excel İndir  Json İndir 
154, ÇİNE ,, 40.019 , 36.344 , 34.810 , 14.639 , 4.516 , 15.070 , 273 , 194 , 118 , Excel İndir  Json İndir 
892, DİDİM ,, 65.215 , 56.719 , 55.735 , 32.066 , 3.735 , 14.608 , 5.000 , 138 , 188 , Excel İndir  Json İndir 
1025, EFELER ,, 209.651 , 186.663 , 182.935 , 80.507 , 20.572 , 69.045 , 11.466 , 895 , 450 , Excel İndir  Json İndir 
245, GERMENCİK ,, 31.990 , 28.974 , 28.212 , 10.286 , 3.124 , 9.800 , 4.854 , 72 , 76 , Excel İndir  Json İndir 
700, İNCİRLİOVA ,, 36.199 , 30.938 , 30.123 , 11.607 , 3.156 , 13.597 , 1.556 , 133 , 74 , Excel İndir  Json İndir 
330, KARACASU ,, 14.665 , 13.003 , 12.359 , 4.848 , 1.979 , 5.377 , 58 , 42 , 55 , Excel İndir  Json İndir 
850, KARPUZLU ,, 9.111 , 8.193 , 7.767 , 2.258 , 864 , 4.533 , 43 , 36 , 33 , Excel İndir  Json İndir 
373, KOÇARLI ,, 18.070 , 16.508 , 16.008 , 5.727 , 1.409 , 8.564 , 216 , 56 , 36 , Excel İndir  Json İndir 
861, KÖŞK ,, 20.186 , 18.544 , 17.867 , 3.939 , 1.917 , 11.253 , 615 , 93 , 50 , Excel İndir  Json İndir 
390, KUŞADASI ,, 85.651 , 74.600 , 73.608 , 45.311 , 5.363 , 19.076 , 3.442 , 162 , 254 , Excel İndir  Json İndir 
391, KUYUCAK ,, 21.467 , 19.439 , 18.607 , 7.333 , 2.593 , 8.403 , 87 , 99 , 92 , Excel İndir  Json İndir 
435, NAZİLLİ ,, 114.431 , 102.043 , 99.064 , 38.918 , 13.973 , 40.503 , 4.761 , 599 , 310 , Excel İndir  Json İndir 
530, SÖKE ,, 89.310 , 78.860 , 77.066 , 36.271 , 7.632 , 25.415 , 7.244 , 276 , 228 , Excel İndir  Json İndir 
533, SULTANHİSAR ,, 15.486 , 14.071 , 13.606 , 5.107 , 2.008 , 5.591 , 789 , 66 , 45 , Excel İndir  Json İndir 
617, YENİPAZAR ,, 10.084 , 9.276 , 8.929 , 3.166 , 1.397 , 4.220 , 73 , 47 , 26 , Excel İndir  Json İndir 
