İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
24, ALACA ,, 24.272 , 21.973 , 21.420 , 4.729 , 1.763 , 14.675 , 89 , 153 , 11 , Excel İndir  Json İndir 
76, BAYAT ,, 12.906 , 11.491 , 11.091 , 979 , 1.040 , 8.930 , 28 , 78 , 36 , Excel İndir  Json İndir 
671, BOĞAZKALE ,, 3.120 , 2.789 , 2.708 , 276 , 157 , 2.239 , 7 , 22 , 7 , Excel İndir  Json İndir 
157, ÇORUM MERKEZ ,, 206.453 , 189.072 , 184.669 , 61.265 , 11.549 , 108.780 , 1.059 , 1.739 , 277 , Excel İndir  Json İndir 
804, DODURGA ,, 5.108 , 4.696 , 4.518 , 1.130 , 591 , 2.717 , 15 , 41 , 24 , Excel İndir  Json İndir 
311, İSKİLİP ,, 25.436 , 22.779 , 21.791 , 2.419 , 1.959 , 17.054 , 61 , 241 , 57 , Excel İndir  Json İndir 
340, KARGI ,, 13.316 , 11.876 , 11.341 , 2.069 , 769 , 8.346 , 36 , 83 , 38 , Excel İndir  Json İndir 
865, LAÇİN ,, 3.600 , 3.240 , 3.089 , 688 , 223 , 2.117 , 20 , 28 , 13 , Excel İndir  Json İndir 
413, MECİTÖZÜ ,, 12.329 , 11.498 , 11.156 , 4.194 , 551 , 6.292 , 61 , 44 , 14 , Excel İndir  Json İndir 
869, OĞUZLAR ,, 4.384 , 4.105 , 3.942 , 873 , 279 , 2.726 , 12 , 33 , 19 , Excel İndir  Json İndir 
449, ORTAKÖY ,, 5.552 , 5.014 , 4.854 , 1.659 , 352 , 2.757 , 33 , 46 , 7 , Excel İndir  Json İndir 
451, OSMANCIK ,, 33.135 , 30.102 , 29.093 , 5.411 , 2.856 , 20.443 , 93 , 230 , 60 , Excel İndir  Json İndir 
535, SUNGURLU ,, 36.855 , 33.057 , 32.105 , 5.730 , 3.171 , 22.817 , 86 , 229 , 72 , Excel İndir  Json İndir 
743, UĞURLUDAĞ ,, 4.934 , 4.385 , 4.268 , 475 , 217 , 3.538 , 9 , 24 , 5 , Excel İndir  Json İndir 
