İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
78, BAYKAN ,, 14.482 , 11.591 , 11.143 , 673 , 104 , 5.003 , 5.224 , 116 , 23 , Excel İndir  Json İndir 
215, ERUH ,, 10.574 , 8.797 , 8.315 , 507 , 101 , 2.603 , 5.053 , 37 , 14 , Excel İndir  Json İndir 
388, KURTALAN ,, 34.223 , 27.768 , 26.973 , 1.115 , 132 , 7.292 , 18.233 , 176 , 25 , Excel İndir  Json İndir 
468, PERVARİ ,, 15.319 , 12.966 , 12.459 , 447 , 461 , 7.514 , 3.979 , 48 , 10 , Excel İndir  Json İndir 
513, SİİRT MERKEZ ,, 91.470 , 78.736 , 76.600 , 5.076 , 995 , 31.703 , 37.966 , 790 , 70 , Excel İndir  Json İndir 
555, ŞİRVAN ,, 11.568 , 9.439 , 9.147 , 360 , 273 , 6.864 , 1.582 , 60 , 8 , Excel İndir  Json İndir 
771, TİLLO ,, 2.579 , 2.314 , 2.279 , 64 , 17 , 1.899 , 287 , 12 , 0 , Excel İndir  Json İndir 
