İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
652, ALPU ,, 8.864 , 7.746 , 7.505 , 1.956 , 731 , 4.722 , 27 , 42 , 27 , Excel İndir  Json İndir 
670, BEYLİKOVA ,, 5.095 , 4.487 , 4.309 , 1.473 , 610 , 2.145 , 39 , 28 , 14 , Excel İndir  Json İndir 
153, ÇİFTELER ,, 11.484 , 9.890 , 9.543 , 2.539 , 1.244 , 5.387 , 268 , 68 , 37 , Excel İndir  Json İndir 
827, GÜNYÜZÜ ,, 4.925 , 4.446 , 4.332 , 818 , 342 , 3.114 , 16 , 31 , 11 , Excel İndir  Json İndir 
832, HAN ,, 1.739 , 1.516 , 1.439 , 578 , 152 , 690 , 5 , 7 , 7 , Excel İndir  Json İndir 
701, İNÖNÜ ,, 5.352 , 5.017 , 4.898 , 1.330 , 420 , 3.049 , 50 , 41 , 8 , Excel İndir  Json İndir 
401, MAHMUDİYE ,, 5.764 , 5.030 , 4.851 , 1.622 , 604 , 2.216 , 362 , 30 , 17 , Excel İndir  Json İndir 
866, MİHALGAZİ ,, 2.642 , 2.449 , 2.373 , 484 , 244 , 1.555 , 10 , 76 , 4 , Excel İndir  Json İndir 
420, MİHALIÇÇIK ,, 7.000 , 5.949 , 5.712 , 1.533 , 861 , 3.188 , 53 , 66 , 11 , Excel İndir  Json İndir 
989, ODUNPAZARI ,, 296.766 , 265.053 , 260.625 , 115.093 , 24.074 , 114.679 , 4.166 , 2.050 , 563 , Excel İndir  Json İndir 
492, SARICAKAYA ,, 4.060 , 3.625 , 3.522 , 691 , 312 , 2.460 , 28 , 23 , 8 , Excel İndir  Json İndir 
511, SEYİTGAZİ ,, 10.793 , 9.996 , 9.679 , 3.534 , 878 , 5.161 , 54 , 37 , 15 , Excel İndir  Json İndir 
525, SİVRİHİSAR ,, 16.303 , 14.079 , 13.650 , 3.316 , 2.081 , 7.769 , 358 , 93 , 33 , Excel İndir  Json İndir 
990, TEPEBAŞI ,, 265.434 , 235.890 , 231.647 , 96.724 , 22.018 , 106.057 , 4.478 , 1.835 , 535 , Excel İndir  Json İndir 
