İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
654, AMASRA ,, 11.459 , 10.153 , 9.687 , 4.180 , 742 , 4.540 , 61 , 120 , 44 , Excel İndir  Json İndir 
71, BARTIN MERKEZ ,, 112.427 , 98.202 , 93.612 , 28.122 , 6.397 , 56.784 , 528 , 1.482 , 299 , Excel İndir  Json İndir 
389, KURUCAŞİLE ,, 5.335 , 4.520 , 4.274 , 1.444 , 339 , 2.365 , 28 , 78 , 20 , Excel İndir  Json İndir 
594, ULUS ,, 17.763 , 15.783 , 14.881 , 3.233 , 862 , 10.402 , 76 , 223 , 85 , Excel İndir  Json İndir 
