İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
43, ARDAHAN MERKEZ ,, 27.554 , 23.293 , 22.357 , 7.117 , 1.138 , 8.573 , 5.367 , 123 , 39 , Excel İndir  Json İndir 
150, ÇILDIR ,, 6.985 , 5.817 , 5.590 , 2.198 , 362 , 2.901 , 73 , 24 , 32 , Excel İndir  Json İndir 
900, DAMAL ,, 4.718 , 4.282 , 4.088 , 3.411 , 92 , 377 , 185 , 11 , 12 , Excel İndir  Json İndir 
253, GÖLE ,, 17.953 , 14.664 , 14.084 , 3.592 , 266 , 7.079 , 2.957 , 155 , 35 , Excel İndir  Json İndir 
277, HANAK ,, 6.981 , 6.114 , 5.832 , 3.387 , 253 , 1.984 , 167 , 29 , 12 , Excel İndir  Json İndir 
472, POSOF ,, 5.384 , 4.715 , 4.553 , 1.085 , 187 , 3.142 , 85 , 34 , 20 , Excel İndir  Json İndir 
