İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
765, AKYURT ,, 22.893 , 20.918 , 20.449 , 2.114 , 1.368 , 16.488 , 271 , 176 , 32 , Excel İndir  Json İndir 
30, ALTINDAĞ ,, 257.689 , 227.381 , 222.193 , 53.265 , 15.339 , 146.292 , 4.825 , 2.117 , 355 , Excel İndir  Json İndir 
56, AYAŞ ,, 9.827 , 9.051 , 8.859 , 2.122 , 1.371 , 5.011 , 228 , 78 , 49 , Excel İndir  Json İndir 
66, BALA ,, 15.512 , 12.710 , 12.268 , 2.137 , 1.186 , 8.187 , 670 , 75 , 13 , Excel İndir  Json İndir 
86, BEYPAZARI ,, 36.755 , 32.664 , 31.864 , 5.080 , 5.218 , 20.830 , 410 , 249 , 77 , Excel İndir  Json İndir 
125, ÇAMLIDERE ,, 6.561 , 5.928 , 5.786 , 557 , 316 , 4.861 , 4 , 46 , 2 , Excel İndir  Json İndir 
129, ÇANKAYA ,, 675.782 , 605.609 , 598.876 , 385.519 , 52.200 , 141.430 , 12.830 , 4.899 , 1.998 , Excel İndir  Json İndir 
158, ÇUBUK ,, 63.167 , 57.645 , 56.274 , 7.361 , 3.820 , 43.895 , 579 , 549 , 70 , Excel İndir  Json İndir 
200, ELMADAĞ ,, 32.339 , 29.703 , 28.953 , 10.108 , 2.937 , 14.375 , 935 , 548 , 50 , Excel İndir  Json İndir 
815, ETİMESGUT ,, 403.249 , 359.815 , 354.773 , 137.464 , 38.092 , 167.602 , 7.050 , 3.807 , 758 , Excel İndir  Json İndir 
817, EVREN ,, 2.342 , 1.962 , 1.890 , 350 , 258 , 1.253 , 9 , 14 , 6 , Excel İndir  Json İndir 
637, GÖLBAŞI ,, 88.596 , 79.286 , 77.825 , 23.100 , 7.961 , 43.408 , 2.001 , 1.199 , 156 , Excel İndir  Json İndir 
262, GÜDÜL ,, 7.033 , 6.311 , 6.117 , 1.004 , 695 , 4.335 , 9 , 40 , 34 , Excel İndir  Json İndir 
284, HAYMANA ,, 21.199 , 17.460 , 16.967 , 2.566 , 732 , 11.936 , 1.516 , 185 , 32 , Excel İndir  Json İndir 
708, KAHRAMANKAZAN ,, 36.108 , 32.776 , 32.141 , 4.863 , 3.349 , 23.001 , 585 , 288 , 55 , Excel İndir  Json İndir 
322, KALECİK ,, 10.082 , 9.171 , 8.858 , 1.760 , 913 , 6.078 , 35 , 53 , 19 , Excel İndir  Json İndir 
638, KEÇİÖREN ,, 663.345 , 588.967 , 578.045 , 167.229 , 53.258 , 340.097 , 10.760 , 5.736 , 965 , Excel İndir  Json İndir 
367, KIZILCAHAMAM ,, 20.694 , 18.673 , 18.141 , 2.553 , 2.103 , 13.158 , 63 , 233 , 31 , Excel İndir  Json İndir 
639, MAMAK ,, 453.000 , 406.551 , 398.383 , 150.053 , 27.730 , 208.606 , 8.618 , 2.737 , 639 , Excel İndir  Json İndir 
432, NALLIHAN ,, 22.582 , 20.132 , 19.421 , 4.647 , 3.140 , 11.416 , 52 , 111 , 55 , Excel İndir  Json İndir 
471, POLATLI ,, 88.480 , 76.102 , 74.343 , 18.789 , 9.130 , 43.227 , 2.457 , 585 , 155 , Excel İndir  Json İndir 
983, PURSAKLAR ,, 97.665 , 88.753 , 86.878 , 10.639 , 6.593 , 67.847 , 754 , 934 , 111 , Excel İndir  Json İndir 
640, SİNCAN ,, 366.678 , 327.127 , 320.636 , 61.821 , 28.861 , 219.384 , 7.193 , 2.911 , 466 , Excel İndir  Json İndir 
551, ŞEREFLİKOÇHİSAR ,, 24.609 , 20.846 , 20.102 , 4.690 , 2.543 , 12.035 , 655 , 148 , 31 , Excel İndir  Json İndir 
616, YENİMAHALLE ,, 483.399 , 436.825 , 429.835 , 182.796 , 41.016 , 192.254 , 8.243 , 4.577 , 949 , Excel İndir  Json İndir 
