İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
915, ELBEYLİ ,, 4.062 , 3.542 , 3.488 , 796 , 319 , 2.352 , 6 , 9 , 6 , Excel İndir  Json İndir 
370, KİLİS MERKEZ ,, 70.609 , 61.499 , 59.972 , 11.885 , 5.348 , 41.244 , 804 , 546 , 145 , Excel İndir  Json İndir 
916, MUSABEYLİ ,, 8.114 , 7.184 , 6.989 , 821 , 414 , 5.625 , 60 , 57 , 12 , Excel İndir  Json İndir 
917, POLATELİ ,, 3.295 , 2.911 , 2.840 , 418 , 238 , 2.144 , 20 , 14 , 6 , Excel İndir  Json İndir 
