İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
41, ARALIK ,, 12.697 , 9.478 , 9.255 , 1.590 , 296 , 3.008 , 4.279 , 69 , 13 , Excel İndir  Json İndir 
295, IĞDIR MERKEZ ,, 83.286 , 65.693 , 63.915 , 12.003 , 4.558 , 18.149 , 28.864 , 265 , 76 , Excel İndir  Json İndir 
903, KARAKOYUNLU ,, 8.995 , 6.831 , 6.652 , 963 , 488 , 2.639 , 2.535 , 12 , 15 , Excel İndir  Json İndir 
585, TUZLUCA ,, 14.757 , 11.327 , 10.903 , 1.626 , 497 , 3.441 , 5.250 , 61 , 28 , Excel İndir  Json İndir 
