İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
33, ALUCRA ,, 7.393 , 5.920 , 5.723 , 366 , 372 , 4.885 , 9 , 83 , 8 , Excel İndir  Json İndir 
111, BULANCAK ,, 50.136 , 44.635 , 43.466 , 11.668 , 2.476 , 28.563 , 108 , 582 , 69 , Excel İndir  Json İndir 
786, ÇAMOLUK ,, 5.760 , 4.952 , 4.832 , 333 , 146 , 4.251 , 3 , 92 , 7 , Excel İndir  Json İndir 
787, ÇANAKÇI ,, 4.942 , 4.365 , 4.180 , 618 , 291 , 3.195 , 20 , 43 , 13 , Excel İndir  Json İndir 
170, DERELİ ,, 16.091 , 14.082 , 13.492 , 1.484 , 886 , 11.001 , 29 , 55 , 37 , Excel İndir  Json İndir 
805, DOĞANKENT ,, 4.886 , 4.273 , 4.137 , 580 , 391 , 3.106 , 8 , 37 , 15 , Excel İndir  Json İndir 
218, ESPİYE ,, 25.516 , 21.780 , 21.007 , 5.115 , 2.059 , 13.536 , 55 , 177 , 65 , Excel İndir  Json İndir 
222, EYNESİL ,, 10.339 , 8.832 , 8.517 , 2.196 , 654 , 5.530 , 25 , 90 , 22 , Excel İndir  Json İndir 
249, GİRESUN MERKEZ ,, 99.197 , 86.381 , 84.360 , 29.622 , 8.222 , 45.119 , 272 , 932 , 193 , Excel İndir  Json İndir 
258, GÖRELE ,, 24.214 , 20.507 , 19.749 , 5.566 , 1.974 , 11.956 , 68 , 136 , 49 , Excel İndir  Json İndir 
823, GÜCE ,, 6.066 , 5.466 , 5.322 , 850 , 239 , 4.176 , 5 , 42 , 10 , Excel İndir  Json İndir 
359, KEŞAP ,, 17.023 , 14.361 , 13.852 , 3.402 , 1.256 , 8.952 , 36 , 145 , 61 , Excel İndir  Json İndir 
730, PİRAZİZ ,, 10.578 , 9.365 , 9.099 , 2.844 , 604 , 5.520 , 23 , 88 , 20 , Excel İndir  Json İndir 
547, ŞEBİNKARAHİSAR ,, 16.013 , 13.741 , 13.326 , 1.657 , 982 , 10.541 , 32 , 97 , 17 , Excel İndir  Json İndir 
571, TİREBOLU ,, 24.540 , 21.241 , 20.536 , 4.799 , 2.334 , 13.154 , 53 , 156 , 40 , Excel İndir  Json İndir 
747, YAĞLIDERE ,, 12.036 , 10.404 , 9.951 , 1.083 , 843 , 7.898 , 14 , 85 , 28 , Excel İndir  Json İndir 
