İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
658, ATKARACALAR ,, 3.275 , 2.731 , 2.647 , 221 , 271 , 2.120 , 5 , 24 , 6 , Excel İndir  Json İndir 
778, BAYRAMÖREN ,, 2.022 , 1.804 , 1.757 , 141 , 132 , 1.468 , 2 , 10 , 4 , Excel İndir  Json İndir 
130, ÇANKIRI MERKEZ ,, 62.335 , 54.976 , 53.446 , 7.408 , 6.215 , 39.065 , 142 , 531 , 85 , Excel İndir  Json İndir 
146, ÇERKEŞ ,, 11.799 , 9.892 , 9.530 , 1.730 , 960 , 6.697 , 32 , 88 , 23 , Excel İndir  Json İndir 
198, ELDİVAN ,, 4.836 , 4.327 , 4.161 , 509 , 414 , 3.162 , 12 , 60 , 4 , Excel İndir  Json İndir 
296, ILGAZ ,, 11.438 , 10.108 , 9.758 , 1.004 , 944 , 7.641 , 22 , 128 , 19 , Excel İndir  Json İndir 
710, KIZILIRMAK ,, 5.746 , 5.053 , 4.899 , 328 , 435 , 4.101 , 8 , 20 , 7 , Excel İndir  Json İndir 
856, KORGUN ,, 3.328 , 3.015 , 2.922 , 163 , 232 , 2.480 , 4 , 36 , 7 , Excel İndir  Json İndir 
387, KURŞUNLU ,, 6.624 , 5.831 , 5.630 , 781 , 475 , 4.309 , 11 , 42 , 12 , Excel İndir  Json İndir 
448, ORTA ,, 8.379 , 7.405 , 7.227 , 292 , 313 , 6.505 , 7 , 96 , 14 , Excel İndir  Json İndir 
542, ŞABANÖZÜ ,, 8.138 , 7.330 , 7.055 , 1.374 , 635 , 4.962 , 20 , 46 , 18 , Excel İndir  Json İndir 
611, YAPRAKLI ,, 6.391 , 5.660 , 5.535 , 202 , 316 , 4.947 , 9 , 51 , 10 , Excel İndir  Json İndir 
