İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
19, AKKUŞ ,, 17.609 , 14.490 , 13.554 , 2.074 , 857 , 10.415 , 66 , 74 , 68 , Excel İndir  Json İndir 
1036, ALTINORDU ,, 157.206 , 137.255 , 134.118 , 48.047 , 11.478 , 72.978 , 366 , 995 , 254 , Excel İndir  Json İndir 
57, AYBASTI ,, 16.842 , 13.873 , 13.174 , 2.255 , 794 , 9.892 , 50 , 131 , 52 , Excel İndir  Json İndir 
784, ÇAMAŞ ,, 6.868 , 6.009 , 5.794 , 1.220 , 439 , 4.022 , 14 , 89 , 10 , Excel İndir  Json İndir 
790, ÇATALPINAR ,, 9.895 , 8.714 , 8.448 , 740 , 206 , 7.420 , 12 , 58 , 12 , Excel İndir  Json İndir 
793, ÇAYBAŞI ,, 9.537 , 8.347 , 8.027 , 683 , 568 , 6.694 , 18 , 38 , 26 , Excel İndir  Json İndir 
226, FATSA ,, 85.661 , 73.899 , 71.778 , 19.969 , 5.539 , 45.253 , 256 , 606 , 155 , Excel İndir  Json İndir 
255, GÖLKÖY ,, 22.224 , 18.330 , 17.157 , 4.484 , 1.709 , 10.753 , 67 , 77 , 67 , Excel İndir  Json İndir 
688, GÜLYALI ,, 6.761 , 6.090 , 5.880 , 2.055 , 573 , 3.202 , 7 , 32 , 11 , Excel İndir  Json İndir 
690, GÜRGENTEPE ,, 11.058 , 9.624 , 9.148 , 3.908 , 421 , 4.712 , 44 , 22 , 41 , Excel İndir  Json İndir 
840, İKİZCE ,, 10.806 , 9.409 , 8.956 , 1.538 , 975 , 6.326 , 21 , 56 , 40 , Excel İndir  Json İndir 
843, KABADÜZ ,, 6.204 , 5.410 , 5.172 , 997 , 509 , 3.604 , 11 , 32 , 19 , Excel İndir  Json İndir 
844, KABATAŞ ,, 8.254 , 7.167 , 6.762 , 908 , 707 , 5.056 , 25 , 45 , 21 , Excel İndir  Json İndir 
375, KORGAN ,, 21.196 , 18.967 , 18.311 , 2.043 , 806 , 15.168 , 47 , 192 , 55 , Excel İndir  Json İndir 
386, KUMRU ,, 22.297 , 19.815 , 19.010 , 1.760 , 765 , 16.281 , 40 , 112 , 52 , Excel İndir  Json İndir 
418, MESUDİYE ,, 13.116 , 10.690 , 10.255 , 2.428 , 541 , 7.180 , 22 , 55 , 29 , Excel İndir  Json İndir 
466, PERŞEMBE ,, 25.961 , 22.351 , 21.450 , 7.953 , 2.471 , 10.761 , 82 , 104 , 79 , Excel İndir  Json İndir 
589, ULUBEY ,, 14.579 , 12.661 , 12.116 , 3.433 , 769 , 7.792 , 30 , 65 , 27 , Excel İndir  Json İndir 
599, ÜNYE ,, 92.404 , 81.182 , 78.461 , 14.866 , 5.275 , 57.027 , 241 , 887 , 165 , Excel İndir  Json İndir 
