İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
1030, ALTIEYLÜL ,, 130.512 , 118.360 , 116.054 , 39.202 , 11.980 , 62.891 , 905 , 857 , 219 , Excel İndir  Json İndir 
60, AYVALIK ,, 58.849 , 52.617 , 51.601 , 30.927 , 4.112 , 14.137 , 2.118 , 134 , 173 , Excel İndir  Json İndir 
68, BALYA ,, 11.265 , 10.498 , 10.035 , 3.697 , 1.199 , 4.888 , 126 , 77 , 48 , Excel İndir  Json İndir 
70, BANDIRMA ,, 115.312 , 103.123 , 101.438 , 47.142 , 10.797 , 39.761 , 2.749 , 779 , 210 , Excel İndir  Json İndir 
90, BİGADİÇ ,, 37.243 , 34.466 , 33.505 , 9.737 , 3.559 , 19.679 , 105 , 357 , 68 , Excel İndir  Json İndir 
115, BURHANİYE ,, 47.905 , 43.216 , 42.312 , 22.132 , 3.546 , 15.009 , 1.339 , 149 , 137 , Excel İndir  Json İndir 
189, DURSUNBEY ,, 28.959 , 26.440 , 25.537 , 2.488 , 1.942 , 20.440 , 70 , 510 , 87 , Excel İndir  Json İndir 
192, EDREMİT ,, 121.762 , 108.146 , 106.236 , 55.759 , 9.129 , 36.733 , 3.661 , 625 , 329 , Excel İndir  Json İndir 
208, ERDEK ,, 27.071 , 24.165 , 23.710 , 13.912 , 1.543 , 7.817 , 251 , 114 , 73 , Excel İndir  Json İndir 
821, GÖMEÇ ,, 11.307 , 10.467 , 10.187 , 5.382 , 971 , 3.289 , 467 , 49 , 29 , Excel İndir  Json İndir 
257, GÖNEN ,, 59.371 , 53.838 , 52.533 , 18.234 , 7.034 , 26.072 , 723 , 339 , 131 , Excel İndir  Json İndir 
281, HAVRAN ,, 20.717 , 19.068 , 18.401 , 4.328 , 2.102 , 11.676 , 82 , 133 , 80 , Excel İndir  Json İndir 
314, İVRİNDİ ,, 26.309 , 24.749 , 23.923 , 5.449 , 2.923 , 15.165 , 122 , 166 , 98 , Excel İndir  Json İndir 
1029, KARESİ ,, 134.333 , 122.764 , 120.389 , 38.939 , 13.959 , 65.435 , 631 , 1.189 , 236 , Excel İndir  Json İndir 
356, KEPSUT ,, 18.044 , 16.926 , 16.327 , 2.868 , 1.902 , 11.202 , 73 , 237 , 45 , Excel İndir  Json İndir 
407, MANYAS ,, 16.045 , 14.367 , 13.832 , 5.892 , 1.710 , 6.013 , 91 , 89 , 37 , Excel İndir  Json İndir 
717, MARMARA ,, 7.880 , 7.075 , 6.923 , 3.151 , 449 , 3.047 , 238 , 22 , 16 , Excel İndir  Json İndir 
501, SAVAŞTEPE ,, 14.272 , 13.171 , 12.703 , 3.284 , 1.779 , 7.479 , 81 , 39 , 41 , Excel İndir  Json İndir 
512, SINDIRGI ,, 28.825 , 26.757 , 25.636 , 8.249 , 2.793 , 14.135 , 105 , 260 , 94 , Excel İndir  Json İndir 
537, SUSURLUK ,, 31.196 , 28.022 , 27.314 , 10.859 , 3.483 , 12.536 , 202 , 179 , 55 , Excel İndir  Json İndir 
