İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
944, BAĞLAR ,, 233.371 , 196.315 , 190.688 , 10.908 , 1.631 , 45.773 , 130.666 , 1.538 , 172 , Excel İndir  Json İndir 
94, BİSMİL ,, 67.195 , 59.470 , 57.980 , 2.360 , 272 , 11.737 , 43.318 , 258 , 35 , Excel İndir  Json İndir 
147, ÇERMİK ,, 30.594 , 22.529 , 21.575 , 1.834 , 388 , 12.921 , 6.141 , 202 , 89 , Excel İndir  Json İndir 
151, ÇINAR ,, 37.964 , 31.744 , 30.903 , 686 , 106 , 10.026 , 19.876 , 170 , 39 , Excel İndir  Json İndir 
161, ÇÜNGÜŞ ,, 7.986 , 6.101 , 5.667 , 989 , 219 , 3.264 , 1.094 , 72 , 29 , Excel İndir  Json İndir 
176, DİCLE ,, 22.394 , 17.623 , 16.624 , 772 , 572 , 5.021 , 9.796 , 404 , 59 , Excel İndir  Json İndir 
684, EĞİL ,, 14.020 , 10.790 , 10.024 , 408 , 141 , 3.760 , 5.568 , 103 , 44 , Excel İndir  Json İndir 
213, ERGANİ ,, 79.624 , 64.387 , 61.731 , 5.131 , 788 , 19.411 , 35.504 , 748 , 149 , Excel İndir  Json İndir 
278, HANİ ,, 18.723 , 13.981 , 13.261 , 433 , 127 , 6.058 , 6.346 , 247 , 50 , Excel İndir  Json İndir 
286, HAZRO ,, 9.626 , 7.851 , 7.517 , 230 , 65 , 1.419 , 5.756 , 37 , 10 , Excel İndir  Json İndir 
945, KAYAPINAR ,, 215.827 , 184.566 , 180.025 , 14.315 , 2.028 , 48.119 , 113.116 , 2.328 , 119 , Excel İndir  Json İndir 
855, KOCAKÖY ,, 9.726 , 8.647 , 8.359 , 281 , 29 , 1.342 , 6.643 , 57 , 7 , Excel İndir  Json İndir 
383, KULP ,, 21.479 , 17.211 , 16.472 , 443 , 107 , 5.857 , 9.969 , 77 , 19 , Excel İndir  Json İndir 
397, LİCE ,, 15.862 , 14.105 , 13.775 , 430 , 105 , 1.783 , 11.404 , 44 , 9 , Excel İndir  Json İndir 
517, SİLVAN ,, 49.208 , 42.684 , 41.235 , 955 , 187 , 7.057 , 32.820 , 186 , 30 , Excel İndir  Json İndir 
946, SUR ,, 66.358 , 55.092 , 53.183 , 2.109 , 282 , 15.663 , 34.731 , 336 , 62 , Excel İndir  Json İndir 
986, YENİŞEHİR ,, 124.972 , 104.489 , 101.649 , 9.027 , 1.385 , 28.267 , 61.666 , 1.223 , 81 , Excel İndir  Json İndir 
