İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
645, AKKIŞLA ,, 5.063 , 4.333 , 4.080 , 984 , 733 , 2.300 , 11 , 40 , 12 , Excel İndir  Json İndir 
116, BÜNYAN ,, 20.620 , 18.562 , 18.033 , 3.106 , 2.149 , 12.449 , 88 , 205 , 36 , Excel İndir  Json İndir 
173, DEVELİ ,, 46.348 , 41.694 , 40.562 , 4.916 , 3.453 , 31.597 , 92 , 448 , 56 , Excel İndir  Json İndir 
228, FELAHİYE ,, 4.619 , 3.774 , 3.613 , 818 , 455 , 2.291 , 6 , 35 , 8 , Excel İndir  Json İndir 
829, HACILAR ,, 8.904 , 8.474 , 8.257 , 760 , 423 , 6.990 , 10 , 63 , 11 , Excel İndir  Json İndir 
306, İNCESU ,, 18.028 , 16.540 , 15.953 , 2.415 , 1.405 , 11.367 , 532 , 211 , 23 , Excel İndir  Json İndir 
756, KOCASİNAN ,, 271.577 , 246.869 , 241.156 , 45.549 , 20.800 , 169.093 , 2.679 , 2.679 , 356 , Excel İndir  Json İndir 
757, MELİKGAZİ ,, 381.006 , 347.219 , 340.522 , 61.306 , 29.039 , 243.093 , 2.641 , 3.990 , 453 , Excel İndir  Json İndir 
871, ÖZVATAN ,, 3.382 , 3.034 , 2.904 , 486 , 295 , 2.079 , 7 , 28 , 9 , Excel İndir  Json İndir 
469, PINARBAŞI ,, 17.042 , 14.530 , 14.111 , 3.452 , 2.014 , 8.404 , 106 , 108 , 27 , Excel İndir  Json İndir 
496, SARIOĞLAN ,, 10.853 , 9.593 , 9.264 , 2.167 , 845 , 6.128 , 32 , 76 , 16 , Excel İndir  Json İndir 
498, SARIZ ,, 7.845 , 6.599 , 6.369 , 1.949 , 908 , 3.343 , 128 , 32 , 9 , Excel İndir  Json İndir 
739, TALAS ,, 103.995 , 93.233 , 91.522 , 22.848 , 9.417 , 57.580 , 394 , 1.107 , 176 , Excel İndir  Json İndir 
573, TOMARZA ,, 16.643 , 14.999 , 14.541 , 2.233 , 1.195 , 10.884 , 32 , 172 , 25 , Excel İndir  Json İndir 
608, YAHYALI ,, 26.266 , 24.101 , 23.599 , 1.900 , 1.540 , 19.768 , 79 , 294 , 18 , Excel İndir  Json İndir 
620, YEŞİLHİSAR ,, 12.217 , 11.175 , 10.836 , 2.447 , 1.250 , 6.980 , 38 , 99 , 22 , Excel İndir  Json İndir 
