İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
91, BİLECİK MERKEZ ,, 49.843 , 44.656 , 43.755 , 14.827 , 5.812 , 21.854 , 774 , 383 , 105 , Excel İndir  Json İndir 
109, BOZÜYÜK ,, 54.438 , 50.251 , 49.213 , 16.692 , 6.648 , 23.740 , 1.602 , 410 , 121 , Excel İndir  Json İndir 
256, GÖLPAZARI ,, 7.981 , 7.007 , 6.718 , 2.252 , 715 , 3.643 , 46 , 46 , 16 , Excel İndir  Json İndir 
841, İNHİSAR ,, 2.012 , 1.757 , 1.658 , 530 , 138 , 938 , 21 , 20 , 11 , Excel İndir  Json İndir 
452, OSMANELİ ,, 15.895 , 14.499 , 14.077 , 4.049 , 2.051 , 7.656 , 101 , 193 , 27 , Excel İndir  Json İndir 
464, PAZARYERİ ,, 8.109 , 7.426 , 7.169 , 1.781 , 1.004 , 4.155 , 166 , 45 , 18 , Excel İndir  Json İndir 
529, SÖĞÜT ,, 13.541 , 12.300 , 11.942 , 3.112 , 1.497 , 6.944 , 159 , 208 , 22 , Excel İndir  Json İndir 
750, YENİPAZAR ,, 2.584 , 2.355 , 2.283 , 666 , 159 , 1.432 , 8 , 10 , 8 , Excel İndir  Json İndir 
