İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
911, ALTINOVA ,, 18.767 , 16.761 , 16.410 , 5.575 , 807 , 9.140 , 712 , 151 , 25 , Excel İndir  Json İndir 
912, ARMUTLU ,, 6.829 , 5.985 , 5.854 , 1.837 , 383 , 3.300 , 249 , 75 , 10 , Excel İndir  Json İndir 
913, ÇINARCIK ,, 23.879 , 20.278 , 19.870 , 8.676 , 927 , 9.249 , 844 , 123 , 51 , Excel İndir  Json İndir 
914, ÇİFTLİKKÖY ,, 26.885 , 23.562 , 23.072 , 9.329 , 1.121 , 11.700 , 656 , 234 , 32 , Excel İndir  Json İndir 
918, TERMAL ,, 4.161 , 3.709 , 3.621 , 1.024 , 191 , 2.309 , 32 , 52 , 13 , Excel İndir  Json İndir 
609, YALOVA MERKEZ ,, 97.732 , 84.850 , 83.197 , 32.629 , 3.840 , 40.872 , 4.949 , 781 , 126 , Excel İndir  Json İndir 
