İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
21, AKSEKİ ,, 9.242 , 7.944 , 7.595 , 2.372 , 803 , 4.300 , 22 , 80 , 18 , Excel İndir  Json İndir 
984, AKSU ,, 48.961 , 42.519 , 41.342 , 11.114 , 7.753 , 20.021 , 2.215 , 173 , 66 , Excel İndir  Json İndir 
26, ALANYA ,, 205.524 , 175.583 , 171.825 , 49.254 , 32.112 , 84.422 , 4.828 , 822 , 387 , Excel İndir  Json İndir 
704, DEMRE ,, 19.546 , 17.867 , 17.387 , 5.050 , 3.656 , 8.196 , 96 , 357 , 32 , Excel İndir  Json İndir 
985, DÖŞEMEALTI ,, 42.880 , 38.660 , 37.684 , 12.624 , 4.640 , 18.681 , 1.415 , 247 , 77 , Excel İndir  Json İndir 
201, ELMALI ,, 29.666 , 27.001 , 26.172 , 7.563 , 4.733 , 13.270 , 290 , 269 , 47 , Excel İndir  Json İndir 
231, FİNİKE ,, 36.261 , 31.617 , 30.824 , 10.977 , 4.878 , 14.324 , 444 , 136 , 65 , Excel İndir  Json İndir 
234, GAZİPAŞA ,, 37.887 , 33.730 , 32.700 , 13.297 , 5.435 , 13.321 , 255 , 246 , 146 , Excel İndir  Json İndir 
267, GÜNDOĞMUŞ ,, 6.143 , 5.363 , 4.979 , 1.173 , 1.019 , 2.680 , 32 , 45 , 30 , Excel İndir  Json İndir 
839, İBRADI ,, 2.290 , 2.053 , 1.950 , 841 , 175 , 907 , 6 , 14 , 7 , Excel İndir  Json İndir 
346, KAŞ ,, 43.154 , 38.294 , 36.947 , 14.682 , 5.945 , 15.591 , 470 , 179 , 80 , Excel İndir  Json İndir 
852, KEMER ,, 28.545 , 24.622 , 24.192 , 10.195 , 2.784 , 9.998 , 1.070 , 94 , 51 , Excel İndir  Json İndir 
941, KEPEZ ,, 363.060 , 315.211 , 309.075 , 97.463 , 31.693 , 148.932 , 28.579 , 1.956 , 452 , Excel İndir  Json İndir 
942, KONYAALTI ,, 116.814 , 101.949 , 100.895 , 60.012 , 9.439 , 27.985 , 2.696 , 508 , 255 , Excel İndir  Json İndir 
376, KORKUTELİ ,, 40.912 , 37.245 , 36.014 , 9.345 , 5.239 , 20.139 , 447 , 770 , 74 , Excel İndir  Json İndir 
385, KUMLUCA ,, 50.564 , 45.409 , 44.287 , 13.423 , 7.641 , 21.643 , 1.287 , 233 , 60 , Excel İndir  Json İndir 
405, MANAVGAT ,, 159.121 , 138.017 , 134.864 , 50.621 , 18.541 , 61.611 , 3.144 , 686 , 261 , Excel İndir  Json İndir 
943, MURATPAŞA ,, 355.248 , 308.445 , 304.273 , 164.029 , 29.432 , 98.072 , 10.490 , 1.496 , 754 , Excel İndir  Json İndir 
509, SERİK ,, 87.704 , 77.363 , 75.591 , 24.012 , 18.055 , 31.928 , 1.170 , 270 , 156 , Excel İndir  Json İndir 
