İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
14, AKÇADAĞ ,, 20.804 , 18.294 , 17.921 , 6.067 , 664 , 10.246 , 822 , 110 , 12 , Excel İndir  Json İndir 
42, ARAPGİR ,, 8.262 , 7.201 , 6.959 , 2.570 , 425 , 3.810 , 84 , 56 , 14 , Excel İndir  Json İndir 
47, ARGUVAN ,, 6.383 , 5.735 , 5.607 , 4.016 , 50 , 1.060 , 464 , 9 , 8 , Excel İndir  Json İndir 
665, BATTALGAZİ ,, 209.180 , 182.580 , 179.066 , 30.166 , 6.285 , 136.341 , 3.799 , 2.276 , 199 , Excel İndir  Json İndir 
163, DARENDE ,, 19.314 , 16.898 , 16.617 , 1.855 , 780 , 13.652 , 128 , 186 , 16 , Excel İndir  Json İndir 
184, DOĞANŞEHİR ,, 28.609 , 25.415 , 24.625 , 8.293 , 1.749 , 13.538 , 752 , 257 , 36 , Excel İndir  Json İndir 
807, DOĞANYOL ,, 3.084 , 2.366 , 2.304 , 308 , 90 , 1.853 , 21 , 28 , 4 , Excel İndir  Json İndir 
287, HEKİMHAN ,, 14.735 , 13.131 , 12.819 , 6.570 , 787 , 5.224 , 113 , 83 , 42 , Excel İndir  Json İndir 
846, KALE ,, 4.461 , 4.234 , 4.189 , 312 , 75 , 3.742 , 28 , 32 , 0 , Excel İndir  Json İndir 
862, KULUNCAK ,, 5.996 , 5.296 , 5.116 , 1.436 , 308 , 3.290 , 53 , 25 , 4 , Excel İndir  Json İndir 
475, PÜTÜRGE ,, 11.081 , 9.091 , 8.981 , 980 , 169 , 7.629 , 98 , 96 , 9 , Excel İndir  Json İndir 
888, YAZIHAN ,, 9.506 , 8.051 , 7.924 , 2.043 , 200 , 5.070 , 543 , 58 , 10 , Excel İndir  Json İndir 
622, YEŞİLYURT ,, 214.516 , 188.844 , 185.145 , 44.860 , 9.276 , 124.946 , 3.599 , 2.265 , 199 , Excel İndir  Json İndir 
