İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
145, ÇEMİŞGEZEK ,, 6.038 , 5.054 , 4.938 , 1.578 , 188 , 2.905 , 236 , 26 , 5 , Excel İndir  Json İndir 
294, HOZAT ,, 4.500 , 3.835 , 3.740 , 2.399 , 56 , 607 , 667 , 6 , 5 , Excel İndir  Json İndir 
411, MAZGİRT ,, 6.718 , 5.871 , 5.707 , 3.397 , 48 , 660 , 1.598 , 1 , 3 , Excel İndir  Json İndir 
434, NAZIMİYE ,, 2.810 , 2.581 , 2.494 , 1.683 , 49 , 371 , 378 , 6 , 7 , Excel İndir  Json İndir 
455, OVACIK ,, 5.406 , 4.714 , 4.608 , 3.177 , 16 , 490 , 913 , 2 , 10 , Excel İndir  Json İndir 
467, PERTEK ,, 8.813 , 7.572 , 7.357 , 4.026 , 138 , 1.767 , 1.395 , 17 , 14 , Excel İndir  Json İndir 
474, PÜLÜMÜR ,, 3.021 , 2.738 , 2.636 , 2.071 , 37 , 289 , 229 , 4 , 6 , Excel İndir  Json İndir 
581, TUNCELİ MERKEZ ,, 26.993 , 23.154 , 22.715 , 13.147 , 438 , 3.028 , 6.039 , 33 , 30 , Excel İndir  Json İndir 
