İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
753, AĞAÇÖREN ,, 6.284 , 5.357 , 5.136 , 448 , 405 , 4.227 , 10 , 35 , 11 , Excel İndir  Json İndir 
20, AKSARAY MERKEZ ,, 187.933 , 164.195 , 159.857 , 21.842 , 13.377 , 122.105 , 1.177 , 1.148 , 208 , Excel İndir  Json İndir 
814, ESKİL ,, 17.510 , 15.808 , 15.352 , 1.992 , 1.210 , 11.947 , 24 , 159 , 20 , Excel İndir  Json İndir 
825, GÜLAĞAÇ ,, 13.566 , 11.354 , 10.972 , 2.587 , 593 , 7.662 , 34 , 76 , 20 , Excel İndir  Json İndir 
754, GÜZELYURT ,, 8.240 , 7.028 , 6.755 , 1.240 , 269 , 5.169 , 31 , 32 , 14 , Excel İndir  Json İndir 
450, ORTAKÖY ,, 22.942 , 19.416 , 18.725 , 2.360 , 1.683 , 14.446 , 63 , 145 , 28 , Excel İndir  Json İndir 
759, SARIYAHŞİ ,, 3.743 , 2.758 , 2.590 , 433 , 224 , 1.854 , 6 , 62 , 11 , Excel İndir  Json İndir 
12008, SULTANHANI ,, 6.850 , 6.222 , 6.076 , 1.091 , 541 , 4.379 , 13 , 45 , 7 , Excel İndir  Json İndir 
