İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
6, ADİLCEVAZ ,, 17.673 , 14.826 , 14.372 , 956 , 437 , 6.296 , 6.544 , 115 , 24 , Excel İndir  Json İndir 
12, AHLAT ,, 23.160 , 20.052 , 19.602 , 1.167 , 759 , 8.534 , 9.012 , 106 , 24 , Excel İndir  Json İndir 
95, BİTLİS MERKEZ ,, 41.012 , 34.149 , 32.851 , 3.609 , 1.000 , 18.198 , 9.581 , 424 , 39 , Excel İndir  Json İndir 
691, GÜROYMAK ,, 25.881 , 21.606 , 20.831 , 770 , 265 , 8.452 , 11.039 , 269 , 36 , Excel İndir  Json İndir 
291, HİZAN ,, 19.355 , 15.184 , 14.483 , 620 , 162 , 8.123 , 5.412 , 124 , 42 , Excel İndir  Json İndir 
430, MUTKİ ,, 17.700 , 14.619 , 14.241 , 543 , 282 , 11.371 , 1.949 , 80 , 16 , Excel İndir  Json İndir 
562, TATVAN ,, 54.180 , 45.395 , 43.780 , 2.391 , 771 , 19.488 , 20.560 , 527 , 43 , Excel İndir  Json İndir 
