İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
1040, ARTUKLU ,, 100.990 , 86.342 , 84.698 , 6.908 , 962 , 46.590 , 29.424 , 755 , 59 , Excel İndir  Json İndir 
680, DARGEÇİT ,, 15.690 , 13.098 , 12.647 , 466 , 95 , 3.436 , 8.552 , 84 , 14 , Excel İndir  Json İndir 
171, DERİK ,, 34.218 , 29.366 , 28.954 , 749 , 198 , 5.182 , 22.718 , 98 , 9 , Excel İndir  Json İndir 
368, KIZILTEPE ,, 141.228 , 122.381 , 120.493 , 6.370 , 531 , 23.999 , 89.030 , 516 , 47 , Excel İndir  Json İndir 
412, MAZIDAĞI ,, 19.854 , 17.187 , 16.624 , 805 , 102 , 3.691 , 11.933 , 79 , 14 , Excel İndir  Json İndir 
419, MİDYAT ,, 65.532 , 50.671 , 48.891 , 2.707 , 752 , 27.757 , 17.109 , 511 , 55 , Excel İndir  Json İndir 
440, NUSAYBİN ,, 60.788 , 50.047 , 48.809 , 1.615 , 215 , 7.628 , 39.163 , 162 , 26 , Excel İndir  Json İndir 
457, ÖMERLİ ,, 8.637 , 7.426 , 7.127 , 405 , 90 , 4.160 , 2.426 , 40 , 6 , Excel İndir  Json İndir 
502, SAVUR ,, 15.844 , 12.470 , 12.129 , 492 , 115 , 5.593 , 5.886 , 35 , 8 , Excel İndir  Json İndir 
894, YEŞİLLİ ,, 8.444 , 7.366 , 7.249 , 308 , 46 , 5.339 , 1.488 , 62 , 6 , Excel İndir  Json İndir 
