İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
194, EFLANİ ,, 6.967 , 5.998 , 5.693 , 755 , 553 , 4.260 , 28 , 75 , 22 , Excel İndir  Json İndir 
219, ESKİPAZAR ,, 9.966 , 8.759 , 8.355 , 1.087 , 782 , 6.284 , 28 , 148 , 26 , Excel İndir  Json İndir 
328, KARABÜK MERKEZ ,, 91.711 , 80.003 , 77.738 , 17.231 , 6.687 , 52.274 , 365 , 981 , 200 , Excel İndir  Json İndir 
454, OVACIK ,, 2.991 , 2.766 , 2.631 , 475 , 293 , 1.819 , 6 , 23 , 15 , Excel İndir  Json İndir 
480, SAFRANBOLU ,, 47.753 , 42.077 , 40.994 , 11.578 , 3.929 , 24.614 , 207 , 569 , 97 , Excel İndir  Json İndir 
749, YENİCE ,, 16.630 , 14.809 , 13.862 , 3.536 , 1.592 , 8.437 , 54 , 171 , 72 , Excel İndir  Json İndir 
