İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
55, AYANCIK ,, 18.756 , 16.062 , 15.507 , 4.916 , 917 , 9.426 , 56 , 128 , 64 , Excel İndir  Json İndir 
103, BOYABAT ,, 32.670 , 28.656 , 27.564 , 4.832 , 2.381 , 19.888 , 117 , 249 , 97 , Excel İndir  Json İndir 
803, DİKMEN ,, 4.207 , 3.549 , 3.292 , 503 , 164 , 2.548 , 27 , 15 , 35 , Excel İndir  Json İndir 
188, DURAĞAN ,, 13.191 , 11.576 , 11.061 , 979 , 696 , 9.227 , 41 , 81 , 37 , Excel İndir  Json İndir 
212, ERFELEK ,, 9.581 , 8.335 , 7.851 , 2.447 , 601 , 4.661 , 41 , 74 , 27 , Excel İndir  Json İndir 
246, GERZE ,, 19.718 , 17.306 , 16.480 , 4.826 , 1.596 , 9.681 , 112 , 172 , 93 , Excel İndir  Json İndir 
874, SARAYDÜZÜ ,, 4.604 , 4.129 , 3.948 , 474 , 297 , 3.107 , 16 , 37 , 17 , Excel İndir  Json İndir 
520, SİNOP MERKEZ ,, 45.946 , 40.722 , 39.483 , 18.164 , 4.435 , 16.249 , 197 , 294 , 144 , Excel İndir  Json İndir 
586, TÜRKELİ ,, 11.408 , 9.767 , 9.447 , 1.282 , 452 , 7.587 , 32 , 75 , 19 , Excel İndir  Json İndir 
