İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
991, AKDENİZ ,, 176.750 , 155.727 , 152.290 , 50.198 , 7.515 , 49.628 , 44.186 , 528 , 235 , Excel İndir  Json İndir 
35, ANAMUR ,, 50.524 , 45.257 , 44.012 , 16.296 , 8.785 , 18.314 , 223 , 276 , 118 , Excel İndir  Json İndir 
659, AYDINCIK ,, 8.452 , 7.530 , 7.273 , 2.238 , 1.517 , 3.417 , 42 , 32 , 27 , Excel İndir  Json İndir 
672, BOZYAZI ,, 20.305 , 18.339 , 17.728 , 4.312 , 4.604 , 8.618 , 67 , 100 , 27 , Excel İndir  Json İndir 
785, ÇAMLIYAYLA ,, 6.639 , 6.069 , 5.854 , 1.209 , 1.375 , 3.196 , 26 , 28 , 20 , Excel İndir  Json İndir 
209, ERDEMLİ ,, 100.456 , 90.852 , 88.774 , 22.680 , 14.841 , 48.195 , 2.255 , 669 , 134 , Excel İndir  Json İndir 
263, GÜLNAR ,, 19.689 , 17.880 , 17.210 , 4.922 , 3.525 , 8.586 , 35 , 83 , 59 , Excel İndir  Json İndir 
992, MEZİTLİ ,, 134.212 , 117.680 , 116.079 , 61.375 , 10.267 , 35.458 , 8.310 , 406 , 263 , Excel İndir  Json İndir 
429, MUT ,, 46.403 , 41.699 , 40.534 , 12.583 , 7.536 , 19.755 , 177 , 405 , 78 , Excel İndir  Json İndir 
514, SİLİFKE ,, 90.956 , 81.239 , 79.117 , 30.156 , 17.351 , 30.444 , 753 , 207 , 206 , Excel İndir  Json İndir 
558, TARSUS ,, 235.993 , 207.488 , 202.902 , 71.149 , 27.261 , 78.319 , 24.974 , 831 , 368 , Excel İndir  Json İndir 
993, TOROSLAR ,, 203.238 , 177.543 , 173.576 , 50.357 , 17.358 , 73.041 , 31.611 , 948 , 261 , Excel İndir  Json İndir 
994, YENİŞEHİR ,, 179.219 , 157.430 , 155.343 , 84.580 , 11.333 , 40.524 , 17.989 , 607 , 310 , Excel İndir  Json İndir 
