İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
2, ACIPAYAM ,, 43.463 , 39.605 , 37.931 , 10.996 , 5.143 , 21.326 , 127 , 215 , 124 , Excel İndir  Json İndir 
662, BABADAĞ ,, 4.993 , 4.656 , 4.453 , 1.339 , 630 , 2.427 , 14 , 26 , 17 , Excel İndir  Json İndir 
774, BAKLAN ,, 4.473 , 4.085 , 3.908 , 1.034 , 901 , 1.927 , 19 , 15 , 12 , Excel İndir  Json İndir 
667, BEKİLLİ ,, 5.722 , 5.210 , 5.020 , 2.447 , 593 , 1.878 , 24 , 20 , 58 , Excel İndir  Json İndir 
781, BEYAĞAÇ ,, 5.217 , 4.757 , 4.530 , 1.265 , 815 , 2.402 , 12 , 16 , 20 , Excel İndir  Json İndir 
782, BOZKURT ,, 8.662 , 7.995 , 7.687 , 3.158 , 1.051 , 3.359 , 79 , 23 , 17 , Excel İndir  Json İndir 
113, BULDAN ,, 20.942 , 19.187 , 18.405 , 6.090 , 3.820 , 8.267 , 107 , 69 , 52 , Excel İndir  Json İndir 
122, ÇAL ,, 15.737 , 14.566 , 13.951 , 5.599 , 2.524 , 5.611 , 56 , 103 , 58 , Excel İndir  Json İndir 
124, ÇAMELİ ,, 14.791 , 13.298 , 12.703 , 2.335 , 1.436 , 8.751 , 50 , 56 , 75 , Excel İndir  Json İndir 
131, ÇARDAK ,, 6.664 , 6.058 , 5.853 , 2.177 , 916 , 2.684 , 29 , 36 , 11 , Excel İndir  Json İndir 
155, ÇİVRİL ,, 45.987 , 41.163 , 39.505 , 13.969 , 5.817 , 18.987 , 325 , 262 , 145 , Excel İndir  Json İndir 
268, GÜNEY ,, 8.071 , 7.505 , 7.131 , 3.128 , 931 , 2.996 , 27 , 25 , 24 , Excel İndir  Json İndir 
696, HONAZ ,, 22.409 , 20.247 , 19.674 , 7.262 , 3.167 , 8.642 , 442 , 88 , 73 , Excel İndir  Json İndir 
321, KALE ,, 15.190 , 13.716 , 13.067 , 2.907 , 2.102 , 7.857 , 78 , 80 , 43 , Excel İndir  Json İndir 
1035, MERKEZEFENDİ ,, 215.760 , 198.014 , 194.426 , 73.441 , 24.906 , 86.659 , 7.912 , 1.127 , 381 , Excel İndir  Json İndir 
764, PAMUKKALE ,, 241.553 , 218.902 , 214.392 , 77.255 , 27.938 , 103.879 , 3.628 , 1.234 , 458 , Excel İndir  Json İndir 
490, SARAYKÖY ,, 23.029 , 21.116 , 20.535 , 8.880 , 2.984 , 7.368 , 1.178 , 64 , 61 , Excel İndir  Json İndir 
733, SERİNHİSAR ,, 11.042 , 10.431 , 10.124 , 3.151 , 1.536 , 5.341 , 21 , 55 , 20 , Excel İndir  Json İndir 
563, TAVAS ,, 35.350 , 32.072 , 30.841 , 8.668 , 4.598 , 17.247 , 115 , 131 , 82 , Excel İndir  Json İndir 
