İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
3, ADALAR ,, 11.967 , 10.535 , 10.365 , 6.229 , 401 , 2.811 , 855 , 34 , 35 , Excel İndir  Json İndir 
963, ARNAVUTKÖY ,, 168.986 , 148.865 , 145.482 , 22.296 , 5.909 , 96.085 , 19.497 , 1.512 , 183 , Excel İndir  Json İndir 
964, ATAŞEHİR ,, 306.446 , 273.413 , 269.321 , 123.210 , 12.116 , 118.799 , 12.356 , 2.285 , 555 , Excel İndir  Json İndir 
895, AVCILAR ,, 302.286 , 263.034 , 258.770 , 116.519 , 11.899 , 110.357 , 17.983 , 1.560 , 452 , Excel İndir  Json İndir 
896, BAĞCILAR ,, 506.091 , 443.563 , 435.770 , 93.275 , 17.569 , 267.253 , 52.312 , 4.841 , 520 , Excel İndir  Json İndir 
897, BAHÇELİEVLER ,, 427.357 , 372.529 , 366.942 , 123.804 , 17.915 , 190.702 , 30.275 , 3.629 , 617 , Excel İndir  Json İndir 
65, BAKIRKÖY ,, 169.021 , 147.959 , 146.379 , 97.530 , 8.284 , 34.973 , 4.275 , 875 , 442 , Excel İndir  Json İndir 
965, BAŞAKŞEHİR ,, 253.892 , 225.906 , 222.575 , 64.011 , 10.703 , 121.683 , 22.298 , 3.562 , 318 , Excel İndir  Json İndir 
779, BAYRAMPAŞA ,, 199.348 , 175.947 , 173.410 , 59.635 , 10.357 , 96.674 , 4.729 , 1.651 , 364 , Excel İndir  Json İndir 
82, BEŞİKTAŞ ,, 140.754 , 123.510 , 122.393 , 90.732 , 5.236 , 22.535 , 2.857 , 569 , 464 , Excel İndir  Json İndir 
84, BEYKOZ ,, 184.234 , 165.063 , 162.001 , 55.893 , 9.175 , 90.529 , 4.009 , 2.044 , 351 , Excel İndir  Json İndir 
966, BEYLİKDÜZÜ ,, 220.711 , 195.419 , 193.373 , 88.382 , 10.881 , 82.813 , 9.418 , 1.464 , 415 , Excel İndir  Json İndir 
85, BEYOĞLU ,, 170.779 , 145.639 , 143.129 , 46.131 , 5.580 , 74.662 , 14.845 , 1.611 , 300 , Excel İndir  Json İndir 
675, BÜYÜKÇEKMECE ,, 172.351 , 151.343 , 149.298 , 65.365 , 8.364 , 67.879 , 6.620 , 807 , 263 , Excel İndir  Json İndir 
135, ÇATALCA ,, 53.501 , 48.881 , 47.825 , 21.138 , 4.864 , 20.502 , 990 , 245 , 86 , Excel İndir  Json İndir 
967, ÇEKMEKÖY ,, 170.067 , 152.826 , 150.338 , 52.109 , 7.523 , 80.901 , 8.257 , 1.334 , 214 , Excel İndir  Json İndir 
908, ESENLER ,, 312.320 , 274.752 , 270.100 , 51.053 , 10.933 , 180.627 , 24.200 , 2.974 , 313 , Excel İndir  Json İndir 
968, ESENYURT ,, 549.448 , 470.945 , 463.084 , 144.878 , 16.583 , 220.363 , 78.023 , 2.649 , 588 , Excel İndir  Json İndir 
223, EYÜPSULTAN ,, 273.863 , 242.854 , 238.756 , 93.809 , 11.125 , 121.316 , 9.587 , 2.516 , 403 , Excel İndir  Json İndir 
225, FATİH ,, 283.991 , 240.296 , 235.892 , 77.904 , 11.013 , 126.819 , 16.287 , 3.317 , 552 , Excel İndir  Json İndir 
233, GAZİOSMANPAŞA ,, 349.260 , 304.988 , 299.967 , 83.104 , 14.023 , 177.196 , 22.060 , 3.080 , 504 , Excel İndir  Json İndir 
902, GÜNGÖREN ,, 211.075 , 183.714 , 180.852 , 54.785 , 8.987 , 100.600 , 14.287 , 1.909 , 284 , Excel İndir  Json İndir 
316, KADIKÖY ,, 363.413 , 323.471 , 320.436 , 230.909 , 13.901 , 65.086 , 7.913 , 1.485 , 1.142 , Excel İndir  Json İndir 
703, KAĞITHANE ,, 319.199 , 278.603 , 274.156 , 88.454 , 12.961 , 153.150 , 15.745 , 3.401 , 445 , Excel İndir  Json İndir 
344, KARTAL ,, 344.826 , 308.290 , 303.612 , 133.721 , 15.454 , 136.923 , 14.029 , 2.865 , 620 , Excel İndir  Json İndir 
716, KÜÇÜKÇEKMECE ,, 541.033 , 474.741 , 467.153 , 178.113 , 25.735 , 215.272 , 43.504 , 3.732 , 797 , Excel İndir  Json İndir 
904, MALTEPE ,, 369.329 , 327.020 , 322.479 , 162.866 , 15.060 , 130.120 , 11.423 , 2.272 , 738 , Excel İndir  Json İndir 
