İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
676, BÜYÜKORHAN ,, 8.053 , 7.296 , 6.850 , 1.013 , 527 , 5.146 , 42 , 93 , 29 , Excel İndir  Json İndir 
240, GEMLİK ,, 82.166 , 72.738 , 71.374 , 28.008 , 5.341 , 34.642 , 2.215 , 999 , 169 , Excel İndir  Json İndir 
828, GÜRSU ,, 57.521 , 50.699 , 49.565 , 9.051 , 3.395 , 34.512 , 1.928 , 600 , 79 , Excel İndir  Json İndir 
692, HARMANCIK ,, 5.350 , 4.869 , 4.580 , 888 , 503 , 3.061 , 26 , 85 , 17 , Excel İndir  Json İndir 
308, İNEGÖL ,, 180.497 , 164.482 , 160.899 , 28.098 , 8.414 , 113.926 , 7.166 , 2.949 , 346 , Excel İndir  Json İndir 
315, İZNİK ,, 33.953 , 30.845 , 30.139 , 9.793 , 4.042 , 15.615 , 192 , 433 , 64 , Excel İndir  Json İndir 
329, KARACABEY ,, 62.453 , 56.058 , 54.670 , 17.412 , 7.343 , 26.842 , 2.251 , 683 , 139 , Excel İndir  Json İndir 
351, KELES ,, 9.943 , 9.099 , 8.728 , 1.456 , 974 , 6.136 , 28 , 113 , 21 , Excel İndir  Json İndir 
853, KESTEL ,, 45.616 , 41.282 , 40.424 , 12.329 , 3.117 , 23.237 , 1.231 , 456 , 54 , Excel İndir  Json İndir 
423, MUDANYA ,, 72.126 , 65.235 , 64.147 , 31.721 , 5.770 , 25.392 , 695 , 385 , 184 , Excel İndir  Json İndir 
428, MUSTAFAKEMALPAŞA ,, 77.783 , 70.874 , 68.996 , 19.689 , 10.838 , 37.051 , 669 , 595 , 154 , Excel İndir  Json İndir 
722, NİLÜFER ,, 307.195 , 279.463 , 275.970 , 135.610 , 24.062 , 108.181 , 5.229 , 2.280 , 608 , Excel İndir  Json İndir 
446, ORHANELİ ,, 15.471 , 14.437 , 13.802 , 2.604 , 1.902 , 8.915 , 55 , 262 , 64 , Excel İndir  Json İndir 
447, ORHANGAZİ ,, 59.365 , 53.828 , 52.706 , 19.287 , 4.526 , 27.318 , 746 , 675 , 154 , Excel İndir  Json İndir 
725, OSMANGAZİ ,, 631.230 , 562.970 , 552.053 , 170.060 , 43.584 , 316.380 , 15.978 , 5.004 , 1.047 , Excel İndir  Json İndir 
618, YENİŞEHİR ,, 40.608 , 36.989 , 35.952 , 10.680 , 4.159 , 19.101 , 1.552 , 399 , 61 , Excel İndir  Json İndir 
752, YILDIRIM ,, 460.007 , 408.653 , 400.011 , 97.375 , 27.071 , 244.847 , 26.022 , 3.967 , 729 , Excel İndir  Json İndir 
