İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
761, AHIRLI ,, 3.592 , 3.140 , 2.997 , 337 , 368 , 2.245 , 7 , 29 , 11 , Excel İndir  Json İndir 
646, AKÖREN ,, 4.300 , 3.802 , 3.655 , 273 , 368 , 2.981 , 7 , 22 , 4 , Excel İndir  Json İndir 
22, AKŞEHİR ,, 70.308 , 60.480 , 58.612 , 12.877 , 7.697 , 37.130 , 306 , 453 , 149 , Excel İndir  Json İndir 
653, ALTINEKİN ,, 9.707 , 9.101 , 8.926 , 666 , 523 , 7.592 , 12 , 126 , 7 , Excel İndir  Json İndir 
87, BEYŞEHİR ,, 53.130 , 47.639 , 46.192 , 5.645 , 6.432 , 33.339 , 89 , 599 , 88 , Excel İndir  Json İndir 
106, BOZKIR ,, 19.540 , 16.996 , 16.302 , 2.088 , 1.651 , 12.302 , 34 , 181 , 46 , Excel İndir  Json İndir 
120, CİHANBEYLİ ,, 36.705 , 28.939 , 28.237 , 4.563 , 1.018 , 15.691 , 6.667 , 266 , 32 , Excel İndir  Json İndir 
795, ÇELTİK ,, 7.131 , 6.070 , 5.919 , 798 , 899 , 4.122 , 29 , 55 , 16 , Excel İndir  Json İndir 
160, ÇUMRA ,, 46.009 , 42.445 , 41.387 , 3.079 , 4.133 , 33.441 , 162 , 523 , 49 , Excel İndir  Json İndir 
800, DERBENT ,, 3.303 , 3.060 , 2.946 , 583 , 235 , 2.077 , 8 , 34 , 9 , Excel İndir  Json İndir 
682, DEREBUCAK ,, 5.093 , 4.226 , 4.018 , 385 , 670 , 2.912 , 6 , 38 , 7 , Excel İndir  Json İndir 
183, DOĞANHİSAR ,, 13.255 , 11.853 , 10.984 , 2.073 , 1.445 , 7.204 , 38 , 163 , 61 , Excel İndir  Json İndir 
813, EMİRGAZİ ,, 5.781 , 4.836 , 4.660 , 1.025 , 510 , 3.077 , 7 , 34 , 7 , Excel İndir  Json İndir 
210, EREĞLİ ,, 103.306 , 89.954 , 87.578 , 25.489 , 10.351 , 49.138 , 1.755 , 690 , 155 , Excel İndir  Json İndir 
826, GÜNEYSINIR ,, 6.756 , 6.384 , 6.266 , 259 , 320 , 5.586 , 5 , 92 , 4 , Excel İndir  Json İndir 
272, HADİM ,, 9.019 , 8.104 , 7.825 , 866 , 930 , 5.865 , 34 , 117 , 13 , Excel İndir  Json İndir 
830, HALKAPINAR ,, 3.279 , 2.965 , 2.889 , 389 , 296 , 2.170 , 6 , 23 , 5 , Excel İndir  Json İndir 
697, HÜYÜK ,, 12.670 , 11.462 , 11.033 , 2.043 , 1.687 , 7.143 , 19 , 108 , 33 , Excel İndir  Json İndir 
297, ILGIN ,, 41.115 , 36.567 , 35.130 , 5.570 , 4.919 , 23.892 , 150 , 515 , 84 , Excel İndir  Json İndir 
317, KADINHANI ,, 21.871 , 19.971 , 19.539 , 1.856 , 1.331 , 15.970 , 39 , 316 , 27 , Excel İndir  Json İndir 
336, KARAPINAR ,, 33.768 , 30.093 , 29.300 , 5.679 , 2.384 , 20.758 , 82 , 360 , 37 , Excel İndir  Json İndir 
707, KARATAY ,, 207.773 , 188.204 , 184.456 , 11.525 , 8.084 , 156.784 , 4.961 , 2.937 , 165 , Excel İndir  Json İndir 
384, KULU ,, 34.782 , 26.030 , 25.286 , 2.467 , 796 , 16.952 , 4.747 , 294 , 30 , Excel İndir  Json İndir 
720, MERAM ,, 231.848 , 211.926 , 207.652 , 21.556 , 12.456 , 168.004 , 1.890 , 3.493 , 253 , Excel İndir  Json İndir 
491, SARAYÖNÜ ,, 19.048 , 17.534 , 17.180 , 1.428 , 1.103 , 14.009 , 122 , 504 , 14 , Excel İndir  Json İndir 
732, SELÇUKLU ,, 426.683 , 382.945 , 375.984 , 52.212 , 29.446 , 279.783 , 8.073 , 5.940 , 530 , Excel İndir  Json İndir 
510, SEYDİŞEHİR ,, 48.394 , 44.092 , 42.532 , 10.312 , 5.607 , 25.527 , 188 , 779 , 119 , Excel İndir  Json İndir 
741, TAŞKENT ,, 4.512 , 4.099 , 3.977 , 397 , 524 , 2.949 , 10 , 86 , 11 , Excel İndir  Json İndir 
883, TUZLUKÇU ,, 5.241 , 4.563 , 4.359 , 1.153 , 579 , 2.563 , 10 , 38 , 16 , Excel İndir  Json İndir 
887, YALIHÜYÜK ,, 1.339 , 1.177 , 1.133 , 88 , 129 , 901 , 0 , 12 , 3 , Excel İndir  Json İndir 
628, YUNAK ,, 16.282 , 13.207 , 12.823 , 1.525 , 1.087 , 9.790 , 273 , 115 , 33 , Excel İndir  Json İndir 
