İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
62, BABAESKİ ,, 38.700 , 35.071 , 34.370 , 22.695 , 3.230 , 7.860 , 373 , 107 , 105 , Excel İndir  Json İndir 
168, DEMİRKÖY ,, 6.668 , 5.946 , 5.746 , 2.269 , 604 , 2.698 , 134 , 19 , 22 , Excel İndir  Json İndir 
365, KIRKLARELİ MERKEZ ,, 71.873 , 63.598 , 62.142 , 32.342 , 6.764 , 21.536 , 1.069 , 255 , 176 , Excel İndir  Json İndir 
374, KOFÇAZ ,, 2.050 , 1.932 , 1.889 , 897 , 232 , 722 , 12 , 7 , 19 , Excel İndir  Json İndir 
398, LÜLEBURGAZ ,, 113.460 , 103.469 , 101.953 , 63.456 , 8.206 , 28.225 , 1.532 , 334 , 200 , Excel İndir  Json İndir 
465, PEHLİVANKÖY ,, 3.189 , 2.869 , 2.780 , 1.450 , 496 , 805 , 13 , 8 , 8 , Excel İndir  Json İndir 
470, PINARHİSAR ,, 14.705 , 13.236 , 12.905 , 6.895 , 1.492 , 4.308 , 136 , 34 , 40 , Excel İndir  Json İndir 
607, VİZE ,, 22.437 , 20.346 , 19.817 , 11.186 , 2.483 , 5.934 , 113 , 59 , 42 , Excel İndir  Json İndir 
