İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
159, ÇUKURCA ,, 10.729 , 7.784 , 7.625 , 520 , 186 , 2.041 , 4.843 , 26 , 9 , Excel İndir  Json İndir 
274, HAKKARİ MERKEZ ,, 48.863 , 42.040 , 40.909 , 2.346 , 478 , 8.037 , 29.828 , 187 , 33 , Excel İndir  Json İndir 
549, ŞEMDİNLİ ,, 35.925 , 28.830 , 27.663 , 1.286 , 268 , 12.303 , 13.618 , 157 , 31 , Excel İndir  Json İndir 
630, YÜKSEKOVA ,, 72.921 , 61.735 , 59.863 , 2.437 , 482 , 8.629 , 48.068 , 196 , 51 , Excel İndir  Json İndir 
