İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
96, BODRUM ,, 130.986 , 114.680 , 113.129 , 75.314 , 7.798 , 23.071 , 6.370 , 212 , 364 , Excel İndir  Json İndir 
635, DALAMAN ,, 28.550 , 25.260 , 24.778 , 10.398 , 3.573 , 10.095 , 543 , 102 , 67 , Excel İndir  Json İndir 
164, DATÇA ,, 18.421 , 16.543 , 16.260 , 10.573 , 1.501 , 3.246 , 809 , 32 , 99 , Excel İndir  Json İndir 
229, FETHİYE ,, 114.034 , 100.154 , 98.382 , 44.505 , 14.953 , 37.154 , 1.082 , 423 , 265 , Excel İndir  Json İndir 
851, KAVAKLIDERE ,, 8.252 , 7.651 , 7.344 , 1.929 , 1.342 , 4.008 , 17 , 38 , 10 , Excel İndir  Json İndir 
381, KÖYCEĞİZ ,, 27.400 , 24.162 , 23.375 , 10.013 , 3.121 , 9.761 , 296 , 77 , 107 , Excel İndir  Json İndir 
410, MARMARİS ,, 68.498 , 58.450 , 57.570 , 35.166 , 4.337 , 15.544 , 2.217 , 134 , 172 , Excel İndir  Json İndir 
1053, MENTEŞE ,, 83.061 , 73.946 , 72.298 , 40.543 , 8.158 , 21.863 , 1.274 , 277 , 183 , Excel İndir  Json İndir 
421, MİLAS ,, 108.193 , 97.994 , 95.259 , 51.425 , 11.281 , 28.377 , 3.515 , 280 , 381 , Excel İndir  Json İndir 
724, ORTACA ,, 36.666 , 32.822 , 32.156 , 16.538 , 4.220 , 10.531 , 615 , 118 , 134 , Excel İndir  Json İndir 
1054, SEYDİKEMER ,, 46.299 , 40.734 , 39.079 , 10.216 , 6.808 , 21.553 , 215 , 201 , 86 , Excel İndir  Json İndir 
588, ULA ,, 20.214 , 18.318 , 17.777 , 9.252 , 1.924 , 6.128 , 323 , 66 , 84 , Excel İndir  Json İndir 
612, YATAĞAN ,, 35.335 , 32.399 , 31.286 , 14.840 , 5.210 , 10.706 , 313 , 128 , 89 , Excel İndir  Json İndir 
