İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
45, ARDEŞEN ,, 30.661 , 26.861 , 26.264 , 5.699 , 1.694 , 18.361 , 66 , 417 , 27 , Excel İndir  Json İndir 
126, ÇAMLIHEMŞİN ,, 5.320 , 4.578 , 4.458 , 936 , 142 , 3.342 , 6 , 25 , 7 , Excel İndir  Json İndir 
139, ÇAYELİ ,, 33.038 , 29.037 , 28.434 , 2.835 , 1.479 , 23.752 , 65 , 257 , 46 , Excel İndir  Json İndir 
801, DEREPAZARI ,, 5.698 , 5.154 , 5.047 , 564 , 119 , 4.281 , 3 , 72 , 8 , Excel İndir  Json İndir 
230, FINDIKLI ,, 12.697 , 11.139 , 10.794 , 4.305 , 946 , 5.358 , 118 , 47 , 20 , Excel İndir  Json İndir 
689, GÜNEYSU ,, 10.627 , 9.892 , 9.692 , 545 , 242 , 8.810 , 9 , 69 , 17 , Excel İndir  Json İndir 
836, HEMŞİN ,, 2.173 , 1.867 , 1.808 , 520 , 78 , 1.192 , 3 , 10 , 5 , Excel İndir  Json İndir 
302, İKİZDERE ,, 5.061 , 4.307 , 4.209 , 343 , 108 , 3.703 , 7 , 37 , 11 , Excel İndir  Json İndir 
842, İYİDERE ,, 6.698 , 6.019 , 5.873 , 502 , 157 , 5.137 , 5 , 66 , 6 , Excel İndir  Json İndir 
323, KALKANDERE ,, 9.457 , 8.375 , 8.220 , 829 , 496 , 6.726 , 68 , 93 , 8 , Excel İndir  Json İndir 
462, PAZAR ,, 24.653 , 21.275 , 20.740 , 5.740 , 1.010 , 13.723 , 89 , 143 , 35 , Excel İndir  Json İndir 
479, RİZE MERKEZ ,, 106.683 , 93.662 , 91.853 , 13.353 , 3.728 , 72.831 , 210 , 1.548 , 183 , Excel İndir  Json İndir 
