İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
1, ABANA ,, 3.293 , 2.861 , 2.753 , 812 , 160 , 1.751 , 5 , 19 , 6 , Excel İndir  Json İndir 
760, AĞLI ,, 2.395 , 2.069 , 1.975 , 253 , 191 , 1.500 , 9 , 15 , 7 , Excel İndir  Json İndir 
39, ARAÇ ,, 15.078 , 13.285 , 12.750 , 2.646 , 1.150 , 8.786 , 30 , 87 , 51 , Excel İndir  Json İndir 
61, AZDAVAY ,, 6.112 , 5.201 , 4.957 , 1.466 , 669 , 2.748 , 22 , 30 , 22 , Excel İndir  Json İndir 
107, BOZKURT ,, 7.879 , 6.854 , 6.569 , 826 , 583 , 5.032 , 9 , 96 , 23 , Excel İndir  Json İndir 
119, CİDE ,, 18.047 , 14.850 , 14.159 , 3.157 , 1.258 , 9.496 , 99 , 99 , 50 , Excel İndir  Json İndir 
136, ÇATALZEYTİN ,, 5.530 , 4.755 , 4.537 , 830 , 277 , 3.349 , 20 , 49 , 12 , Excel İndir  Json İndir 
162, DADAY ,, 7.041 , 6.127 , 5.895 , 1.792 , 602 , 3.406 , 19 , 52 , 24 , Excel İndir  Json İndir 
175, DEVREKANİ ,, 9.896 , 8.765 , 8.414 , 1.192 , 969 , 6.136 , 24 , 61 , 32 , Excel İndir  Json İndir 
808, DOĞANYURT ,, 4.635 , 3.763 , 3.530 , 401 , 227 , 2.860 , 13 , 20 , 9 , Excel İndir  Json İndir 
833, HANÖNÜ ,, 3.305 , 2.912 , 2.757 , 727 , 270 , 1.709 , 15 , 15 , 21 , Excel İndir  Json İndir 
698, İHSANGAZİ ,, 4.273 , 3.780 , 3.636 , 417 , 331 , 2.854 , 7 , 21 , 6 , Excel İndir  Json İndir 
307, İNEBOLU ,, 15.922 , 13.863 , 13.192 , 2.149 , 1.127 , 9.706 , 47 , 109 , 54 , Excel İndir  Json İndir 
345, KASTAMONU MERKEZ ,, 103.097 , 90.687 , 88.100 , 21.004 , 9.416 , 56.489 , 310 , 675 , 206 , Excel İndir  Json İndir 
392, KÜRE ,, 4.494 , 3.897 , 3.693 , 696 , 337 , 2.607 , 16 , 11 , 26 , Excel İndir  Json İndir 
729, PINARBAŞI ,, 4.766 , 3.940 , 3.726 , 748 , 375 , 2.514 , 19 , 50 , 20 , Excel İndir  Json İndir 
877, SEYDİLER ,, 3.195 , 2.871 , 2.803 , 479 , 327 , 1.961 , 11 , 17 , 8 , Excel İndir  Json İndir 
738, ŞENPAZAR ,, 3.859 , 3.083 , 2.907 , 467 , 218 , 2.181 , 11 , 20 , 10 , Excel İndir  Json İndir 
559, TAŞKÖPRÜ ,, 30.579 , 26.481 , 25.578 , 4.740 , 3.181 , 17.431 , 44 , 119 , 63 , Excel İndir  Json İndir 
578, TOSYA ,, 32.521 , 29.128 , 28.046 , 2.760 , 1.946 , 22.953 , 53 , 250 , 84 , Excel İndir  Json İndir 
