İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
763, AKINCILAR ,, 4.307 , 3.790 , 3.680 , 627 , 184 , 2.808 , 14 , 44 , 3 , Excel İndir  Json İndir 
768, ALTINYAYLA ,, 6.554 , 5.786 , 5.690 , 496 , 153 , 4.927 , 8 , 99 , 7 , Excel İndir  Json İndir 
180, DİVRİĞİ ,, 13.734 , 12.740 , 12.418 , 8.701 , 336 , 3.150 , 164 , 39 , 28 , Excel İndir  Json İndir 
806, DOĞANŞAR ,, 2.554 , 2.241 , 2.184 , 77 , 95 , 1.977 , 2 , 31 , 2 , Excel İndir  Json İndir 
239, GEMEREK ,, 17.537 , 15.078 , 14.558 , 4.388 , 1.405 , 8.545 , 44 , 134 , 42 , Excel İndir  Json İndir 
820, GÖLOVA ,, 2.713 , 2.346 , 2.292 , 255 , 97 , 1.892 , 10 , 35 , 3 , Excel İndir  Json İndir 
270, GÜRÜN ,, 14.254 , 12.256 , 11.953 , 2.609 , 1.136 , 7.927 , 56 , 211 , 14 , Excel İndir  Json İndir 
273, HAFİK ,, 8.236 , 7.771 , 7.614 , 3.110 , 234 , 4.122 , 17 , 121 , 10 , Excel İndir  Json İndir 
304, İMRANLI ,, 6.824 , 6.215 , 6.095 , 3.911 , 137 , 1.944 , 81 , 16 , 6 , Excel İndir  Json İndir 
326, KANGAL ,, 16.360 , 14.554 , 14.161 , 4.444 , 1.103 , 8.370 , 123 , 100 , 21 , Excel İndir  Json İndir 
377, KOYULHİSAR ,, 10.721 , 9.365 , 8.931 , 1.536 , 568 , 6.698 , 22 , 87 , 20 , Excel İndir  Json İndir 
521, SİVAS MERKEZ ,, 250.894 , 226.893 , 221.889 , 31.238 , 14.438 , 171.741 , 495 , 3.691 , 286 , Excel İndir  Json İndir 
539, SUŞEHRİ ,, 19.106 , 17.262 , 16.805 , 1.671 , 1.155 , 13.726 , 29 , 200 , 24 , Excel İndir  Json İndir 
543, ŞARKIŞLA ,, 28.122 , 24.767 , 24.104 , 4.882 , 1.389 , 17.385 , 66 , 346 , 36 , Excel İndir  Json İndir 
884, ULAŞ ,, 6.533 , 6.004 , 5.810 , 1.206 , 355 , 4.185 , 17 , 41 , 6 , Excel İndir  Json İndir 
624, YILDIZELİ ,, 24.212 , 20.910 , 20.504 , 3.519 , 680 , 16.094 , 33 , 155 , 23 , Excel İndir  Json İndir 
631, ZARA ,, 17.936 , 16.350 , 15.981 , 5.514 , 750 , 9.467 , 144 , 93 , 13 , Excel İndir  Json İndir 
