İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
193, EDİRNE MERKEZ ,, 130.118 , 114.009 , 111.951 , 64.152 , 10.119 , 33.984 , 2.463 , 945 , 288 , Excel İndir  Json İndir 
205, ENEZ ,, 9.309 , 8.400 , 8.186 , 4.912 , 839 , 1.894 , 490 , 32 , 19 , Excel İndir  Json İndir 
282, HAVSA ,, 15.815 , 14.387 , 13.916 , 7.546 , 1.900 , 3.999 , 285 , 157 , 29 , Excel İndir  Json İndir 
309, İPSALA ,, 21.984 , 19.662 , 19.028 , 9.383 , 2.216 , 7.171 , 135 , 78 , 45 , Excel İndir  Json İndir 
358, KEŞAN ,, 62.536 , 55.369 , 54.002 , 30.390 , 4.826 , 17.794 , 663 , 198 , 131 , Excel İndir  Json İndir 
395, LALAPAŞA ,, 5.373 , 4.887 , 4.687 , 1.976 , 596 , 2.030 , 30 , 36 , 19 , Excel İndir  Json İndir 
416, MERİÇ ,, 11.788 , 10.251 , 9.786 , 5.003 , 1.163 , 3.454 , 67 , 64 , 35 , Excel İndir  Json İndir 
881, SÜLOĞLU ,, 4.932 , 4.400 , 4.284 , 1.991 , 582 , 1.626 , 25 , 42 , 18 , Excel İndir  Json İndir 
598, UZUNKÖPRÜ ,, 49.249 , 43.855 , 42.351 , 23.876 , 5.576 , 12.264 , 335 , 164 , 136 , Excel İndir  Json İndir 
