İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
9, AĞLASUN ,, 6.577 , 5.933 , 5.617 , 963 , 704 , 3.850 , 21 , 53 , 26 , Excel İndir  Json İndir 
767, ALTINYAYLA ,, 4.317 , 3.917 , 3.673 , 356 , 532 , 2.733 , 18 , 20 , 14 , Excel İndir  Json İndir 
110, BUCAK ,, 47.964 , 43.660 , 42.086 , 7.519 , 7.499 , 26.127 , 318 , 519 , 104 , Excel İndir  Json İndir 
114, BURDUR MERKEZ ,, 76.295 , 69.154 , 67.140 , 24.066 , 10.119 , 31.220 , 583 , 970 , 182 , Excel İndir  Json İndir 
792, ÇAVDIR ,, 9.966 , 8.613 , 8.233 , 2.251 , 1.405 , 4.440 , 39 , 61 , 37 , Excel İndir  Json İndir 
796, ÇELTİKÇİ ,, 4.383 , 4.002 , 3.780 , 669 , 577 , 2.481 , 14 , 20 , 19 , Excel İndir  Json İndir 
254, GÖLHİSAR ,, 16.729 , 14.760 , 14.143 , 2.738 , 1.648 , 9.515 , 45 , 162 , 35 , Excel İndir  Json İndir 
706, KARAMANLI ,, 6.352 , 5.733 , 5.561 , 2.065 , 964 , 2.407 , 45 , 62 , 18 , Excel İndir  Json İndir 
709, KEMER ,, 2.730 , 2.449 , 2.361 , 427 , 338 , 1.535 , 7 , 45 , 9 , Excel İndir  Json İndir 
565, TEFENNİ ,, 8.248 , 7.114 , 6.795 , 1.883 , 1.473 , 3.315 , 43 , 62 , 19 , Excel İndir  Json İndir 
621, YEŞİLOVA ,, 13.172 , 11.806 , 11.293 , 4.875 , 1.640 , 4.554 , 43 , 97 , 84 , Excel İndir  Json İndir 
