İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
663, BAHÇESARAY ,, 7.746 , 6.229 , 5.836 , 214 , 86 , 3.269 , 2.166 , 75 , 26 , Excel İndir  Json İndir 
74, BAŞKALE ,, 27.749 , 23.497 , 23.035 , 680 , 110 , 2.990 , 19.193 , 55 , 7 , Excel İndir  Json İndir 
679, ÇALDIRAN ,, 32.174 , 26.186 , 25.390 , 769 , 177 , 5.812 , 18.444 , 155 , 33 , Excel İndir  Json İndir 
134, ÇATAK ,, 11.662 , 9.991 , 9.530 , 420 , 80 , 3.305 , 5.619 , 87 , 19 , Excel İndir  Json İndir 
811, EDREMİT ,, 75.697 , 63.974 , 62.083 , 3.137 , 750 , 23.672 , 34.069 , 416 , 39 , Excel İndir  Json İndir 
207, ERCİŞ ,, 97.651 , 77.781 , 75.282 , 3.167 , 902 , 29.808 , 40.945 , 367 , 93 , Excel İndir  Json İndir 
247, GEVAŞ ,, 17.662 , 14.839 , 14.202 , 622 , 90 , 7.156 , 6.109 , 195 , 30 , Excel İndir  Json İndir 
269, GÜRPINAR ,, 20.678 , 16.554 , 15.896 , 532 , 111 , 6.475 , 8.657 , 99 , 22 , Excel İndir  Json İndir 
1042, İPEKYOLU ,, 185.524 , 156.633 , 151.979 , 8.455 , 1.333 , 59.932 , 81.071 , 1.051 , 137 , Excel İndir  Json İndir 
426, MURADİYE ,, 27.446 , 22.241 , 21.384 , 858 , 174 , 6.266 , 13.912 , 153 , 21 , Excel İndir  Json İndir 
458, ÖZALP ,, 35.221 , 29.289 , 28.324 , 596 , 126 , 3.599 , 23.870 , 94 , 39 , Excel İndir  Json İndir 
873, SARAY ,, 11.651 , 9.705 , 9.296 , 185 , 68 , 1.833 , 7.162 , 30 , 18 , Excel İndir  Json İndir 
1041, TUŞBA ,, 88.869 , 73.119 , 71.019 , 3.625 , 760 , 27.741 , 38.436 , 400 , 57 , Excel İndir  Json İndir 
