İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
59, AYVACIK ,, 27.344 , 24.913 , 24.277 , 11.150 , 2.331 , 10.283 , 356 , 69 , 88 , Excel İndir  Json İndir 
79, BAYRAMİÇ ,, 23.801 , 22.168 , 21.452 , 9.245 , 3.197 , 8.650 , 190 , 97 , 73 , Excel İndir  Json İndir 
89, BİGA ,, 69.038 , 63.226 , 61.856 , 20.406 , 6.294 , 33.955 , 735 , 311 , 155 , Excel İndir  Json İndir 
104, BOZCAADA ,, 2.448 , 2.193 , 2.174 , 1.385 , 213 , 532 , 34 , 3 , 7 , Excel İndir  Json İndir 
127, ÇAN ,, 38.426 , 35.848 , 35.146 , 12.101 , 5.155 , 17.529 , 146 , 139 , 76 , Excel İndir  Json İndir 
128, ÇANAKKALE MERKEZ ,, 126.978 , 114.296 , 112.587 , 61.481 , 12.751 , 34.653 , 2.893 , 518 , 291 , Excel İndir  Json İndir 
191, ECEABAT ,, 7.409 , 6.829 , 6.656 , 4.040 , 862 , 1.633 , 90 , 10 , 21 , Excel İndir  Json İndir 
224, EZİNE ,, 24.916 , 22.767 , 22.093 , 9.743 , 2.815 , 9.109 , 255 , 88 , 83 , Excel İndir  Json İndir 
237, GELİBOLU ,, 32.908 , 29.114 , 28.471 , 15.246 , 3.011 , 9.538 , 503 , 90 , 83 , Excel İndir  Json İndir 
305, GÖKÇEADA ,, 6.103 , 5.265 , 5.131 , 1.976 , 633 , 1.996 , 481 , 24 , 21 , Excel İndir  Json İndir 
396, LAPSEKİ ,, 21.542 , 19.940 , 19.411 , 6.209 , 2.930 , 9.892 , 249 , 81 , 50 , Excel İndir  Json İndir 
615, YENİCE ,, 26.360 , 24.527 , 23.749 , 5.962 , 3.016 , 14.452 , 113 , 143 , 63 , Excel İndir  Json İndir 
