İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
98, BOLU MERKEZ ,, 141.085 , 125.867 , 123.019 , 34.998 , 11.536 , 73.330 , 1.362 , 1.500 , 293 , Excel İndir  Json İndir 
809, DÖRTDİVAN ,, 5.374 , 4.947 , 4.834 , 217 , 271 , 4.290 , 9 , 41 , 6 , Excel İndir  Json İndir 
243, GEREDE ,, 25.321 , 23.325 , 22.856 , 1.266 , 875 , 20.320 , 38 , 327 , 30 , Excel İndir  Json İndir 
261, GÖYNÜK ,, 12.059 , 10.916 , 10.552 , 1.248 , 764 , 8.336 , 42 , 133 , 29 , Excel İndir  Json İndir 
360, KIBRISCIK ,, 2.586 , 2.271 , 2.160 , 763 , 210 , 1.146 , 11 , 24 , 6 , Excel İndir  Json İndir 
415, MENGEN ,, 11.342 , 9.745 , 9.399 , 2.752 , 779 , 5.689 , 30 , 110 , 39 , Excel İndir  Json İndir 
424, MUDURNU ,, 15.147 , 13.675 , 13.235 , 2.860 , 1.442 , 8.739 , 74 , 78 , 42 , Excel İndir  Json İndir 
503, SEBEN ,, 4.410 , 3.827 , 3.678 , 766 , 549 , 2.320 , 11 , 24 , 8 , Excel İndir  Json İndir 
890, YENİÇAĞA ,, 5.797 , 5.147 , 5.001 , 523 , 190 , 4.144 , 8 , 130 , 6 , Excel İndir  Json İndir 
