İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
5, ADIYAMAN MERKEZ ,, 194.203 , 170.910 , 166.999 , 41.817 , 5.925 , 103.299 , 13.668 , 2.075 , 215 , Excel İndir  Json İndir 
81, BESNİ ,, 50.927 , 42.421 , 40.967 , 9.333 , 2.115 , 26.925 , 2.065 , 407 , 122 , Excel İndir  Json İndir 
144, ÇELİKHAN ,, 10.671 , 9.889 , 9.645 , 2.163 , 195 , 6.053 , 1.006 , 220 , 8 , Excel İndir  Json İndir 
244, GERGER ,, 11.605 , 8.810 , 8.585 , 424 , 110 , 7.323 , 626 , 82 , 20 , Excel İndir  Json İndir 
251, GÖLBAŞI ,, 34.202 , 29.723 , 28.859 , 8.904 , 1.861 , 17.249 , 572 , 221 , 52 , Excel İndir  Json İndir 
320, KAHTA ,, 74.961 , 62.769 , 61.157 , 4.228 , 683 , 48.945 , 6.481 , 726 , 94 , Excel İndir  Json İndir 
485, SAMSAT ,, 4.806 , 4.414 , 4.333 , 178 , 88 , 3.694 , 288 , 83 , 2 , Excel İndir  Json İndir 
878, SİNCİK ,, 11.512 , 10.451 , 10.387 , 197 , 167 , 9.816 , 149 , 57 , 1 , Excel İndir  Json İndir 
882, TUT ,, 6.879 , 5.959 , 5.722 , 1.608 , 348 , 3.622 , 94 , 35 , 15 , Excel İndir  Json İndir 
