İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
10, AĞIN ,, 2.285 , 1.971 , 1.887 , 486 , 200 , 1.141 , 20 , 36 , 4 , Excel İndir  Json İndir 
766, ALACAKAYA ,, 4.702 , 4.014 , 3.899 , 311 , 145 , 2.944 , 443 , 48 , 8 , Excel İndir  Json İndir 
655, ARICAK ,, 9.622 , 7.780 , 7.493 , 406 , 78 , 5.777 , 1.108 , 107 , 17 , Excel İndir  Json İndir 
72, BASKİL ,, 10.050 , 8.870 , 8.693 , 821 , 406 , 7.285 , 68 , 102 , 11 , Excel İndir  Json İndir 
196, ELAZIĞ MERKEZ ,, 306.745 , 261.108 , 253.824 , 44.640 , 18.683 , 174.591 , 11.699 , 3.942 , 269 , Excel İndir  Json İndir 
333, KARAKOÇAN ,, 20.045 , 16.813 , 16.176 , 2.044 , 212 , 8.121 , 5.377 , 401 , 21 , Excel İndir  Json İndir 
349, KEBAN ,, 5.038 , 4.534 , 4.430 , 792 , 314 , 3.189 , 76 , 51 , 8 , Excel İndir  Json İndir 
713, KOVANCILAR ,, 26.140 , 21.155 , 20.617 , 1.028 , 335 , 16.668 , 2.277 , 292 , 17 , Excel İndir  Json İndir 
399, MADEN ,, 8.433 , 6.765 , 6.517 , 1.395 , 506 , 4.259 , 299 , 44 , 14 , Excel İndir  Json İndir 
459, PALU ,, 13.082 , 11.245 , 10.936 , 371 , 182 , 9.611 , 522 , 239 , 11 , Excel İndir  Json İndir 
524, SİVRİCE ,, 6.270 , 5.405 , 5.280 , 669 , 261 , 4.180 , 84 , 75 , 11 , Excel İndir  Json İndir 
