İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
38, ARABAN ,, 20.271 , 17.320 , 16.815 , 2.995 , 836 , 11.263 , 1.486 , 191 , 44 , Excel İndir  Json İndir 
312, İSLAHİYE ,, 43.354 , 37.456 , 36.370 , 8.058 , 2.850 , 22.529 , 2.516 , 314 , 103 , Excel İndir  Json İndir 
849, KARKAMIŞ ,, 6.732 , 6.112 , 5.980 , 1.508 , 884 , 3.464 , 59 , 52 , 13 , Excel İndir  Json İndir 
439, NİZİP ,, 87.637 , 74.165 , 72.343 , 12.828 , 4.567 , 49.069 , 4.910 , 823 , 146 , Excel İndir  Json İndir 
867, NURDAĞI ,, 25.635 , 22.149 , 21.693 , 2.981 , 1.379 , 16.499 , 691 , 104 , 39 , Excel İndir  Json İndir 
442, OĞUZELİ ,, 19.461 , 17.469 , 17.101 , 3.461 , 1.456 , 11.920 , 101 , 135 , 28 , Excel İndir  Json İndir 
734, ŞAHİNBEY ,, 549.859 , 466.666 , 456.589 , 105.352 , 23.602 , 291.148 , 32.110 , 3.568 , 809 , Excel İndir  Json İndir 
737, ŞEHİTKAMİL ,, 450.613 , 386.515 , 378.304 , 81.560 , 18.067 , 236.184 , 38.160 , 3.586 , 747 , Excel İndir  Json İndir 
613, YAVUZELİ ,, 12.840 , 11.569 , 11.325 , 2.494 , 568 , 7.792 , 270 , 182 , 19 , Excel İndir  Json İndir 
