İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
7, AFŞİN ,, 54.233 , 46.474 , 45.236 , 7.206 , 4.815 , 32.392 , 409 , 339 , 75 , Excel İndir  Json İndir 
36, ANDIRIN ,, 25.097 , 22.316 , 21.631 , 4.636 , 2.523 , 14.113 , 45 , 237 , 77 , Excel İndir  Json İndir 
1027, ÇAĞLAYANCERİT ,, 15.915 , 13.722 , 13.295 , 2.517 , 2.095 , 8.302 , 260 , 91 , 30 , Excel İndir  Json İndir 
1045, DULKADİROĞLU ,, 140.988 , 128.116 , 125.589 , 12.081 , 6.552 , 104.032 , 1.568 , 1.202 , 154 , Excel İndir  Json İndir 
812, EKİNÖZÜ ,, 8.304 , 7.525 , 7.274 , 1.390 , 739 , 4.796 , 293 , 44 , 12 , Excel İndir  Json İndir 
197, ELBİSTAN ,, 95.994 , 82.648 , 80.713 , 17.103 , 10.030 , 51.019 , 1.550 , 904 , 107 , Excel İndir  Json İndir 
250, GÖKSUN ,, 36.557 , 31.950 , 30.966 , 4.646 , 3.052 , 22.724 , 133 , 369 , 42 , Excel İndir  Json İndir 
868, NURHAK ,, 9.068 , 7.541 , 7.263 , 3.744 , 580 , 2.650 , 178 , 91 , 20 , Excel İndir  Json İndir 
1046, ONİKİŞUBAT ,, 262.684 , 240.583 , 236.601 , 24.433 , 19.632 , 188.486 , 749 , 3.017 , 284 , Excel İndir  Json İndir 
463, PAZARCIK ,, 45.609 , 39.603 , 38.375 , 14.276 , 1.773 , 19.897 , 2.236 , 124 , 69 , Excel İndir  Json İndir 
587, TÜRKOĞLU ,, 45.008 , 40.727 , 39.739 , 4.569 , 3.014 , 31.312 , 213 , 572 , 59 , Excel İndir  Json İndir 
